date,TON/USDT
2025-08-23 00:00:00+00:00,3.381
2025-08-24 00:00:00+00:00,3.299
2025-08-25 00:00:00+00:00,3.115
2025-08-26 00:00:00+00:00,3.167
2025-08-27 00:00:00+00:00,3.139
2025-08-28 00:00:00+00:00,3.175
2025-08-29 00:00:00+00:00,3.074
2025-08-30 00:00:00+00:00,3.127
2025-08-31 00:00:00+00:00,3.165
2025-09-01 00:00:00+00:00,3.108
2025-09-02 00:00:00+00:00,3.169
2025-09-03 00:00:00+00:00,3.176
2025-09-04 00:00:00+00:00,3.098
2025-09-05 00:00:00+00:00,3.09
2025-09-06 00:00:00+00:00,3.059
2025-09-07 00:00:00+00:00,3.094
2025-09-08 00:00:00+00:00,3.095
2025-09-09 00:00:00+00:00,3.094
2025-09-10 00:00:00+00:00,3.171
2025-09-11 00:00:00+00:00,3.188
2025-09-12 00:00:00+00:00,3.219
2025-09-13 00:00:00+00:00,3.227
2025-09-14 00:00:00+00:00,3.18
2025-09-15 00:00:00+00:00,3.156
2025-09-16 00:00:00+00:00,3.156
2025-09-17 00:00:00+00:00,3.129
2025-09-18 00:00:00+00:00,3.159
2025-09-19 00:00:00+00:00,3.108
2025-09-20 00:00:00+00:00,3.091
2025-09-21 00:00:00+00:00,3.065
2025-09-22 00:00:00+00:00,2.805
2025-09-23 00:00:00+00:00,2.808
2025-09-24 00:00:00+00:00,2.817
2025-09-25 00:00:00+00:00,2.661
2025-09-26 00:00:00+00:00,2.744
2025-09-27 00:00:00+00:00,2.708
2025-09-28 00:00:00+00:00,2.723
2025-09-29 00:00:00+00:00,2.698
2025-09-30 00:00:00+00:00,2.71
2025-10-01 00:00:00+00:00,2.786
2025-10-02 00:00:00+00:00,2.844
2025-10-03 00:00:00+00:00,2.86
2025-10-04 00:00:00+00:00,2.809
2025-10-05 00:00:00+00:00,2.796
2025-10-06 00:00:00+00:00,2.855
2025-10-07 00:00:00+00:00,2.753
2025-10-08 00:00:00+00:00,2.776
2025-10-09 00:00:00+00:00,2.74
2025-10-10 00:00:00+00:00,2.052
2025-10-11 00:00:00+00:00,2.097
2025-10-12 00:00:00+00:00,2.274
2025-10-13 00:00:00+00:00,2.368
2025-10-14 00:00:00+00:00,2.302
2025-10-15 00:00:00+00:00,2.219
2025-10-16 00:00:00+00:00,2.178
2025-10-17 00:00:00+00:00,2.119
2025-10-18 00:00:00+00:00,2.154
