date,XRP/USDT
2025-04-26 00:00:00+00:00,2.1912
2025-04-27 00:00:00+00:00,2.252
2025-04-28 00:00:00+00:00,2.2949
2025-04-29 00:00:00+00:00,2.238
2025-04-30 00:00:00+00:00,2.1908
2025-05-01 00:00:00+00:00,2.2123
2025-05-02 00:00:00+00:00,2.2093
2025-05-03 00:00:00+00:00,2.1872
2025-05-04 00:00:00+00:00,2.156
2025-05-05 00:00:00+00:00,2.1306
2025-05-06 00:00:00+00:00,2.155
2025-05-07 00:00:00+00:00,2.1265
2025-05-08 00:00:00+00:00,2.3272
2025-05-09 00:00:00+00:00,2.3439
2025-05-10 00:00:00+00:00,2.4711
2025-05-11 00:00:00+00:00,2.367
2025-05-12 00:00:00+00:00,2.5439
2025-05-13 00:00:00+00:00,2.5829
2025-05-14 00:00:00+00:00,2.5503
2025-05-15 00:00:00+00:00,2.3856
2025-05-16 00:00:00+00:00,2.3798
2025-05-17 00:00:00+00:00,2.3531
2025-05-18 00:00:00+00:00,2.428
2025-05-19 00:00:00+00:00,2.3803
2025-05-20 00:00:00+00:00,2.3565
2025-05-21 00:00:00+00:00,2.3952
2025-05-22 00:00:00+00:00,2.4311
2025-05-23 00:00:00+00:00,2.2966
2025-05-24 00:00:00+00:00,2.3303
2025-05-25 00:00:00+00:00,2.3417
2025-05-26 00:00:00+00:00,2.3103
2025-05-27 00:00:00+00:00,2.3168
2025-05-28 00:00:00+00:00,2.2742
2025-05-29 00:00:00+00:00,2.2442
2025-05-30 00:00:00+00:00,2.1398
2025-05-31 00:00:00+00:00,2.1738
2025-06-01 00:00:00+00:00,2.1792
2025-06-02 00:00:00+00:00,2.1965
2025-06-03 00:00:00+00:00,2.2446
2025-06-04 00:00:00+00:00,2.2009
2025-06-05 00:00:00+00:00,2.0936
2025-06-06 00:00:00+00:00,2.1598
2025-06-07 00:00:00+00:00,2.1769
2025-06-08 00:00:00+00:00,2.267
2025-06-09 00:00:00+00:00,2.3211
2025-06-10 00:00:00+00:00,2.3074
2025-06-11 00:00:00+00:00,2.2704
2025-06-12 00:00:00+00:00,2.1899
2025-06-13 00:00:00+00:00,2.1472
2025-06-14 00:00:00+00:00,2.1394
2025-06-15 00:00:00+00:00,2.1655
2025-06-16 00:00:00+00:00,2.238
2025-06-17 00:00:00+00:00,2.159
2025-06-18 00:00:00+00:00,2.1705
2025-06-19 00:00:00+00:00,2.1648
2025-06-20 00:00:00+00:00,2.1194
2025-06-21 00:00:00+00:00,2.0632
2025-06-22 00:00:00+00:00,2.0172
2025-06-23 00:00:00+00:00,2.1584
2025-06-24 00:00:00+00:00,2.1898
2025-06-25 00:00:00+00:00,2.1859
2025-06-26 00:00:00+00:00,2.1054
2025-06-27 00:00:00+00:00,2.1419
2025-06-28 00:00:00+00:00,2.1854
2025-06-29 00:00:00+00:00,2.2061
2025-06-30 00:00:00+00:00,2.2362
2025-07-01 00:00:00+00:00,2.172
2025-07-02 00:00:00+00:00,2.2336
2025-07-03 00:00:00+00:00,2.2569
2025-07-04 00:00:00+00:00,2.2205
2025-07-05 00:00:00+00:00,2.2178
2025-07-06 00:00:00+00:00,2.2709
2025-07-07 00:00:00+00:00,2.2708
2025-07-08 00:00:00+00:00,2.3108
2025-07-09 00:00:00+00:00,2.4038
2025-07-10 00:00:00+00:00,2.5471
2025-07-11 00:00:00+00:00,2.7322
2025-07-12 00:00:00+00:00,2.7395
2025-07-13 00:00:00+00:00,2.8361
2025-07-14 00:00:00+00:00,2.9582
2025-07-15 00:00:00+00:00,2.919
2025-07-16 00:00:00+00:00,3.038
2025-07-17 00:00:00+00:00,3.4814
2025-07-18 00:00:00+00:00,3.4135
2025-07-19 00:00:00+00:00,3.4244
2025-07-20 00:00:00+00:00,3.454
2025-07-21 00:00:00+00:00,3.5495
2025-07-22 00:00:00+00:00,3.5504
2025-07-23 00:00:00+00:00,3.1838
2025-07-24 00:00:00+00:00,3.1453
2025-07-25 00:00:00+00:00,3.1423
2025-07-26 00:00:00+00:00,3.1662
2025-07-27 00:00:00+00:00,3.2389
2025-07-28 00:00:00+00:00,3.1235
2025-07-29 00:00:00+00:00,3.128
2025-07-30 00:00:00+00:00,3.0966
2025-07-31 00:00:00+00:00,3.0224
2025-08-01 00:00:00+00:00,2.9613
2025-08-02 00:00:00+00:00,2.7695
2025-08-03 00:00:00+00:00,2.948
2025-08-04 00:00:00+00:00,3.0716
2025-08-05 00:00:00+00:00,2.9623
2025-08-06 00:00:00+00:00,2.9908
2025-08-07 00:00:00+00:00,3.3197
2025-08-08 00:00:00+00:00,3.2859
2025-08-09 00:00:00+00:00,3.2259
2025-08-10 00:00:00+00:00,3.187
2025-08-11 00:00:00+00:00,3.1295
2025-08-12 00:00:00+00:00,3.2676
2025-08-13 00:00:00+00:00,3.2744
2025-08-14 00:00:00+00:00,3.0792
2025-08-15 00:00:00+00:00,3.0779
2025-08-16 00:00:00+00:00,3.1055
2025-08-17 00:00:00+00:00,3.0877
2025-08-18 00:00:00+00:00,3.0616
2025-08-19 00:00:00+00:00,2.8608
2025-08-20 00:00:00+00:00,2.9512
2025-08-21 00:00:00+00:00,2.8519
2025-08-22 00:00:00+00:00,3.0744
2025-08-23 00:00:00+00:00,3.0485
2025-08-24 00:00:00+00:00,3.0258
2025-08-25 00:00:00+00:00,2.8584
2025-08-26 00:00:00+00:00,3.0123
2025-08-27 00:00:00+00:00,2.9688
2025-08-28 00:00:00+00:00,2.9665
2025-08-29 00:00:00+00:00,2.8195
2025-08-30 00:00:00+00:00,2.8181
2025-08-31 00:00:00+00:00,2.7757
2025-09-01 00:00:00+00:00,2.7589
2025-09-02 00:00:00+00:00,2.862
2025-09-03 00:00:00+00:00,2.8443
2025-09-04 00:00:00+00:00,2.7946
2025-09-05 00:00:00+00:00,2.8147
2025-09-06 00:00:00+00:00,2.8098
2025-09-07 00:00:00+00:00,2.877
2025-09-08 00:00:00+00:00,2.9697
2025-09-09 00:00:00+00:00,2.9474
2025-09-10 00:00:00+00:00,2.9834
2025-09-11 00:00:00+00:00,3.0398
2025-09-12 00:00:00+00:00,3.1054
2025-09-13 00:00:00+00:00,3.1193
2025-09-14 00:00:00+00:00,3.0279
2025-09-15 00:00:00+00:00,2.9969
2025-09-16 00:00:00+00:00,3.0376
2025-09-17 00:00:00+00:00,3.0841
2025-09-18 00:00:00+00:00,3.0735
2025-09-19 00:00:00+00:00,2.9901
2025-09-20 00:00:00+00:00,2.975
2025-09-21 00:00:00+00:00,2.9701
2025-09-22 00:00:00+00:00,2.8526
2025-09-23 00:00:00+00:00,2.8247
2025-09-24 00:00:00+00:00,2.9257
2025-09-25 00:00:00+00:00,2.7435
2025-09-26 00:00:00+00:00,2.7835
2025-09-27 00:00:00+00:00,2.8047
2025-09-28 00:00:00+00:00,2.8674
2025-09-29 00:00:00+00:00,2.8801
2025-09-30 00:00:00+00:00,2.8468
2025-10-01 00:00:00+00:00,2.9485
2025-10-02 00:00:00+00:00,3.0389
2025-10-03 00:00:00+00:00,3.0401
2025-10-04 00:00:00+00:00,2.9685
