date,BROCCOLI714/USDT
2025-10-19 00:00:00+00:00,0.02468
2025-10-20 00:00:00+00:00,0.0252
2025-10-21 00:00:00+00:00,0.02343
2025-10-22 00:00:00+00:00,0.02264
2025-10-23 00:00:00+00:00,0.02501
2025-10-24 00:00:00+00:00,0.02464
2025-10-25 00:00:00+00:00,0.0243
2025-10-26 00:00:00+00:00,0.02418
2025-10-27 00:00:00+00:00,0.02289
2025-10-28 00:00:00+00:00,0.02214
2025-10-29 00:00:00+00:00,0.02221
2025-10-30 00:00:00+00:00,0.01972
2025-10-31 00:00:00+00:00,0.01927
2025-11-01 00:00:00+00:00,0.01984
2025-11-02 00:00:00+00:00,0.01922
2025-11-03 00:00:00+00:00,0.01584
2025-11-04 00:00:00+00:00,0.01702
2025-11-05 00:00:00+00:00,0.01744
2025-11-06 00:00:00+00:00,0.01695
2025-11-07 00:00:00+00:00,0.01869
2025-11-08 00:00:00+00:00,0.01797
2025-11-09 00:00:00+00:00,0.01955
2025-11-10 00:00:00+00:00,0.01938
2025-11-11 00:00:00+00:00,0.01807
2025-11-12 00:00:00+00:00,0.018
2025-11-13 00:00:00+00:00,0.01684
2025-11-14 00:00:00+00:00,0.01654
2025-11-15 00:00:00+00:00,0.01774
2025-11-16 00:00:00+00:00,0.0177
2025-11-17 00:00:00+00:00,0.0174
2025-11-18 00:00:00+00:00,0.01697
2025-11-19 00:00:00+00:00,0.01585
2025-11-20 00:00:00+00:00,0.01554
2025-11-21 00:00:00+00:00,0.01385
2025-11-22 00:00:00+00:00,0.01375
2025-11-23 00:00:00+00:00,0.01399
2025-11-24 00:00:00+00:00,0.01465
2025-11-25 00:00:00+00:00,0.01494
2025-11-26 00:00:00+00:00,0.0153
2025-11-27 00:00:00+00:00,0.01501
2025-11-28 00:00:00+00:00,0.01452
2025-11-29 00:00:00+00:00,0.01413
2025-11-30 00:00:00+00:00,0.01422
2025-12-01 00:00:00+00:00,0.01329
2025-12-02 00:00:00+00:00,0.01415
2025-12-03 00:00:00+00:00,0.01432
2025-12-04 00:00:00+00:00,0.0139
2025-12-05 00:00:00+00:00,0.01327
2025-12-06 00:00:00+00:00,0.01417
2025-12-07 00:00:00+00:00,0.01379
2025-12-08 00:00:00+00:00,0.01443
2025-12-09 00:00:00+00:00,0.01435
2025-12-10 00:00:00+00:00,0.01374
2025-12-11 00:00:00+00:00,0.01372
2025-12-12 00:00:00+00:00,0.01338
2025-12-13 00:00:00+00:00,0.01347
2025-12-14 00:00:00+00:00,0.01281
2025-12-15 00:00:00+00:00,0.01262
2025-12-16 00:00:00+00:00,0.01268
2025-12-17 00:00:00+00:00,0.0116
2025-12-18 00:00:00+00:00,0.01118
2025-12-19 00:00:00+00:00,0.01196
2025-12-20 00:00:00+00:00,0.01222
2025-12-21 00:00:00+00:00,0.01166
2025-12-22 00:00:00+00:00,0.01195
2025-12-23 00:00:00+00:00,0.01224
2025-12-24 00:00:00+00:00,0.01235
2025-12-25 00:00:00+00:00,0.01194
2025-12-26 00:00:00+00:00,0.01253
2025-12-27 00:00:00+00:00,0.01275
2025-12-28 00:00:00+00:00,0.0122
2025-12-29 00:00:00+00:00,0.01229
2025-12-30 00:00:00+00:00,0.01266
2025-12-31 00:00:00+00:00,0.0174
2026-01-01 00:00:00+00:00,0.01997
2026-01-02 00:00:00+00:00,0.01858
2026-01-03 00:00:00+00:00,0.01828
2026-01-04 00:00:00+00:00,0.02888
2026-01-05 00:00:00+00:00,0.02661
2026-01-06 00:00:00+00:00,0.04074
2026-01-07 00:00:00+00:00,0.0284
2026-01-08 00:00:00+00:00,0.03249
2026-01-09 00:00:00+00:00,0.03033
2026-01-10 00:00:00+00:00,0.02759
2026-01-11 00:00:00+00:00,0.02808
2026-01-12 00:00:00+00:00,0.02547
2026-01-13 00:00:00+00:00,0.02566
2026-01-14 00:00:00+00:00,0.02372
2026-01-15 00:00:00+00:00,0.02312
2026-01-16 00:00:00+00:00,0.02452
2026-01-17 00:00:00+00:00,0.02232
2026-01-18 00:00:00+00:00,0.02205
2026-01-19 00:00:00+00:00,0.0203
2026-01-20 00:00:00+00:00,0.02017
