date,PIVX/USDT
2025-10-28 00:00:00+00:00,0.256
2025-10-29 00:00:00+00:00,0.264
2025-10-30 00:00:00+00:00,0.2134
2025-10-31 00:00:00+00:00,0.2406
2025-11-01 00:00:00+00:00,0.288
2025-11-02 00:00:00+00:00,0.2621
2025-11-03 00:00:00+00:00,0.2927
2025-11-04 00:00:00+00:00,0.3312
2025-11-05 00:00:00+00:00,0.344
2025-11-06 00:00:00+00:00,0.306
2025-11-07 00:00:00+00:00,0.2977
2025-11-08 00:00:00+00:00,0.2773
2025-11-09 00:00:00+00:00,0.2681
2025-11-10 00:00:00+00:00,0.2412
2025-11-11 00:00:00+00:00,0.2335
2025-11-12 00:00:00+00:00,0.2388
2025-11-13 00:00:00+00:00,0.1977
2025-11-14 00:00:00+00:00,0.2061
2025-11-15 00:00:00+00:00,0.2199
2025-11-16 00:00:00+00:00,0.282
2025-11-17 00:00:00+00:00,0.2509
2025-11-18 00:00:00+00:00,0.2607
2025-11-19 00:00:00+00:00,0.2634
2025-11-20 00:00:00+00:00,0.2545
2025-11-21 00:00:00+00:00,0.2204
2025-11-22 00:00:00+00:00,0.2205
2025-11-23 00:00:00+00:00,0.2162
2025-11-24 00:00:00+00:00,0.2118
2025-11-25 00:00:00+00:00,0.2041
2025-11-26 00:00:00+00:00,0.2011
2025-11-27 00:00:00+00:00,0.1971
2025-11-28 00:00:00+00:00,0.1872
2025-11-29 00:00:00+00:00,0.1745
2025-11-30 00:00:00+00:00,0.1767
2025-12-01 00:00:00+00:00,0.1649
2025-12-02 00:00:00+00:00,0.1693
2025-12-03 00:00:00+00:00,0.1704
2025-12-04 00:00:00+00:00,0.1697
2025-12-05 00:00:00+00:00,0.154
2025-12-06 00:00:00+00:00,0.164
2025-12-07 00:00:00+00:00,0.16
2025-12-08 00:00:00+00:00,0.1608
2025-12-09 00:00:00+00:00,0.1658
2025-12-10 00:00:00+00:00,0.1589
2025-12-11 00:00:00+00:00,0.1573
2025-12-12 00:00:00+00:00,0.1523
2025-12-13 00:00:00+00:00,0.1478
2025-12-14 00:00:00+00:00,0.1401
2025-12-15 00:00:00+00:00,0.1301
2025-12-16 00:00:00+00:00,0.1305
2025-12-17 00:00:00+00:00,0.1245
2025-12-18 00:00:00+00:00,0.1187
2025-12-19 00:00:00+00:00,0.1234
2025-12-20 00:00:00+00:00,0.1285
2025-12-21 00:00:00+00:00,0.1212
2025-12-22 00:00:00+00:00,0.1189
2025-12-23 00:00:00+00:00,0.1236
2025-12-24 00:00:00+00:00,0.1219
2025-12-25 00:00:00+00:00,0.1215
2025-12-26 00:00:00+00:00,0.1218
2025-12-27 00:00:00+00:00,0.1331
2025-12-28 00:00:00+00:00,0.1292
2025-12-29 00:00:00+00:00,0.1298
2025-12-30 00:00:00+00:00,0.1286
2025-12-31 00:00:00+00:00,0.1296
2026-01-01 00:00:00+00:00,0.1354
2026-01-02 00:00:00+00:00,0.1303
2026-01-03 00:00:00+00:00,0.1342
2026-01-04 00:00:00+00:00,0.1336
2026-01-05 00:00:00+00:00,0.134
2026-01-06 00:00:00+00:00,0.1421
2026-01-07 00:00:00+00:00,0.1364
2026-01-08 00:00:00+00:00,0.1317
2026-01-09 00:00:00+00:00,0.1299
2026-01-10 00:00:00+00:00,0.1303
2026-01-11 00:00:00+00:00,0.1267
2026-01-12 00:00:00+00:00,0.1287
2026-01-13 00:00:00+00:00,0.1392
2026-01-14 00:00:00+00:00,0.1486
2026-01-15 00:00:00+00:00,0.1475
2026-01-16 00:00:00+00:00,0.1799
2026-01-17 00:00:00+00:00,0.163
2026-01-18 00:00:00+00:00,0.1598
2026-01-19 00:00:00+00:00,0.1819
2026-01-20 00:00:00+00:00,0.1775
