date,TRX/USDT
2025-04-26 00:00:00+00:00,0.2519
2025-04-27 00:00:00+00:00,0.2454
2025-04-28 00:00:00+00:00,0.2483
2025-04-29 00:00:00+00:00,0.2438
2025-04-30 00:00:00+00:00,0.2464
2025-05-01 00:00:00+00:00,0.2447
2025-05-02 00:00:00+00:00,0.2478
2025-05-03 00:00:00+00:00,0.2456
2025-05-04 00:00:00+00:00,0.2471
2025-05-05 00:00:00+00:00,0.2483
2025-05-06 00:00:00+00:00,0.2459
2025-05-07 00:00:00+00:00,0.2487
2025-05-08 00:00:00+00:00,0.2571
2025-05-09 00:00:00+00:00,0.2602
2025-05-10 00:00:00+00:00,0.2662
2025-05-11 00:00:00+00:00,0.2651
2025-05-12 00:00:00+00:00,0.2717
2025-05-13 00:00:00+00:00,0.2709
2025-05-14 00:00:00+00:00,0.2746
2025-05-15 00:00:00+00:00,0.2733
2025-05-16 00:00:00+00:00,0.2717
2025-05-17 00:00:00+00:00,0.2696
2025-05-18 00:00:00+00:00,0.2679
2025-05-19 00:00:00+00:00,0.2667
2025-05-20 00:00:00+00:00,0.2691
2025-05-21 00:00:00+00:00,0.2683
2025-05-22 00:00:00+00:00,0.2759
2025-05-23 00:00:00+00:00,0.2688
2025-05-24 00:00:00+00:00,0.2703
2025-05-25 00:00:00+00:00,0.2723
2025-05-26 00:00:00+00:00,0.2739
2025-05-27 00:00:00+00:00,0.2779
2025-05-28 00:00:00+00:00,0.2738
2025-05-29 00:00:00+00:00,0.2747
2025-05-30 00:00:00+00:00,0.267
2025-05-31 00:00:00+00:00,0.2657
2025-06-01 00:00:00+00:00,0.2708
2025-06-02 00:00:00+00:00,0.2688
2025-06-03 00:00:00+00:00,0.2702
2025-06-04 00:00:00+00:00,0.2744
2025-06-05 00:00:00+00:00,0.282
2025-06-06 00:00:00+00:00,0.2779
2025-06-07 00:00:00+00:00,0.2869
2025-06-08 00:00:00+00:00,0.2817
2025-06-09 00:00:00+00:00,0.287
2025-06-10 00:00:00+00:00,0.2927
2025-06-11 00:00:00+00:00,0.2795
2025-06-12 00:00:00+00:00,0.2718
2025-06-13 00:00:00+00:00,0.2697
2025-06-14 00:00:00+00:00,0.2711
2025-06-15 00:00:00+00:00,0.2739
2025-06-16 00:00:00+00:00,0.2741
2025-06-17 00:00:00+00:00,0.2715
2025-06-18 00:00:00+00:00,0.273
2025-06-19 00:00:00+00:00,0.2748
2025-06-20 00:00:00+00:00,0.2722
2025-06-21 00:00:00+00:00,0.271
2025-06-22 00:00:00+00:00,0.2635
2025-06-23 00:00:00+00:00,0.2727
2025-06-24 00:00:00+00:00,0.2738
2025-06-25 00:00:00+00:00,0.2731
2025-06-26 00:00:00+00:00,0.271
2025-06-27 00:00:00+00:00,0.2732
2025-06-28 00:00:00+00:00,0.2747
2025-06-29 00:00:00+00:00,0.2769
2025-06-30 00:00:00+00:00,0.2798
2025-07-01 00:00:00+00:00,0.2788
2025-07-02 00:00:00+00:00,0.2844
2025-07-03 00:00:00+00:00,0.287
2025-07-04 00:00:00+00:00,0.2827
2025-07-05 00:00:00+00:00,0.2832
2025-07-06 00:00:00+00:00,0.287
2025-07-07 00:00:00+00:00,0.2867
2025-07-08 00:00:00+00:00,0.2874
2025-07-09 00:00:00+00:00,0.2899
