date,PEPE/USDT
2025-04-29 00:00:00+00:00,8.87e-06
2025-04-30 00:00:00+00:00,8.89e-06
2025-05-01 00:00:00+00:00,8.73e-06
2025-05-02 00:00:00+00:00,8.7e-06
2025-05-03 00:00:00+00:00,8.17e-06
2025-05-04 00:00:00+00:00,8.09e-06
2025-05-05 00:00:00+00:00,7.94e-06
2025-05-06 00:00:00+00:00,7.99e-06
2025-05-07 00:00:00+00:00,8.25e-06
2025-05-08 00:00:00+00:00,1.112e-05
2025-05-09 00:00:00+00:00,1.237e-05
2025-05-10 00:00:00+00:00,1.37e-05
2025-05-11 00:00:00+00:00,1.361e-05
2025-05-12 00:00:00+00:00,1.362e-05
2025-05-13 00:00:00+00:00,1.444e-05
2025-05-14 00:00:00+00:00,1.39e-05
2025-05-15 00:00:00+00:00,1.302e-05
2025-05-16 00:00:00+00:00,1.259e-05
2025-05-17 00:00:00+00:00,1.216e-05
2025-05-18 00:00:00+00:00,1.385e-05
2025-05-19 00:00:00+00:00,1.327e-05
2025-05-20 00:00:00+00:00,1.316e-05
2025-05-21 00:00:00+00:00,1.365e-05
2025-05-22 00:00:00+00:00,1.55e-05
2025-05-23 00:00:00+00:00,1.381e-05
2025-05-24 00:00:00+00:00,1.378e-05
2025-05-25 00:00:00+00:00,1.361e-05
2025-05-26 00:00:00+00:00,1.385e-05
2025-05-27 00:00:00+00:00,1.39e-05
2025-05-28 00:00:00+00:00,1.399e-05
2025-05-29 00:00:00+00:00,1.343e-05
2025-05-30 00:00:00+00:00,1.161e-05
2025-05-31 00:00:00+00:00,1.165e-05
2025-06-01 00:00:00+00:00,1.18e-05
2025-06-02 00:00:00+00:00,1.235e-05
2025-06-03 00:00:00+00:00,1.226e-05
2025-06-04 00:00:00+00:00,1.182e-05
2025-06-05 00:00:00+00:00,1.064e-05
2025-06-06 00:00:00+00:00,1.105e-05
2025-06-07 00:00:00+00:00,1.15e-05
2025-06-08 00:00:00+00:00,1.168e-05
2025-06-09 00:00:00+00:00,1.265e-05
2025-06-10 00:00:00+00:00,1.312e-05
2025-06-11 00:00:00+00:00,1.249e-05
2025-06-12 00:00:00+00:00,1.151e-05
2025-06-13 00:00:00+00:00,1.122e-05
2025-06-14 00:00:00+00:00,1.095e-05
2025-06-15 00:00:00+00:00,1.111e-05
2025-06-16 00:00:00+00:00,1.059e-05
2025-06-17 00:00:00+00:00,1.013e-05
2025-06-18 00:00:00+00:00,1.035e-05
2025-06-19 00:00:00+00:00,1.029e-05
2025-06-20 00:00:00+00:00,9.84e-06
2025-06-21 00:00:00+00:00,9.28e-06
2025-06-22 00:00:00+00:00,8.87e-06
2025-06-23 00:00:00+00:00,9.9e-06
2025-06-24 00:00:00+00:00,1.006e-05
2025-06-25 00:00:00+00:00,9.46e-06
2025-06-26 00:00:00+00:00,9.16e-06
2025-06-27 00:00:00+00:00,9.18e-06
2025-06-28 00:00:00+00:00,9.55e-06
2025-06-29 00:00:00+00:00,1.04e-05
2025-06-30 00:00:00+00:00,9.75e-06
2025-07-01 00:00:00+00:00,9.26e-06
2025-07-02 00:00:00+00:00,1.006e-05
2025-07-03 00:00:00+00:00,1.012e-05
2025-07-04 00:00:00+00:00,9.65e-06
2025-07-05 00:00:00+00:00,9.69e-06
2025-07-06 00:00:00+00:00,1.002e-05
2025-07-07 00:00:00+00:00,9.9e-06
2025-07-08 00:00:00+00:00,1.019e-05
2025-07-09 00:00:00+00:00,1.105e-05
2025-07-10 00:00:00+00:00,1.241e-05
2025-07-11 00:00:00+00:00,1.236e-05
2025-07-12 00:00:00+00:00,1.224e-05
2025-07-13 00:00:00+00:00,1.23e-05
2025-07-14 00:00:00+00:00,1.223e-05
2025-07-15 00:00:00+00:00,1.286e-05
2025-07-16 00:00:00+00:00,1.354e-05
2025-07-17 00:00:00+00:00,1.337e-05
2025-07-18 00:00:00+00:00,1.298e-05
2025-07-19 00:00:00+00:00,1.342e-05
2025-07-20 00:00:00+00:00,1.402e-05
2025-07-21 00:00:00+00:00,1.409e-05
2025-07-22 00:00:00+00:00,1.416e-05
2025-07-23 00:00:00+00:00,1.273e-05
2025-07-24 00:00:00+00:00,1.239e-05
2025-07-25 00:00:00+00:00,1.255e-05
2025-07-26 00:00:00+00:00,1.24e-05
2025-07-27 00:00:00+00:00,1.279e-05
2025-07-28 00:00:00+00:00,1.19e-05
2025-07-29 00:00:00+00:00,1.152e-05
2025-07-30 00:00:00+00:00,1.134e-05
2025-07-31 00:00:00+00:00,1.078e-05
2025-08-01 00:00:00+00:00,1.039e-05
2025-08-02 00:00:00+00:00,1.013e-05
2025-08-03 00:00:00+00:00,1.045e-05
2025-08-04 00:00:00+00:00,1.076e-05
2025-08-05 00:00:00+00:00,1.02e-05
2025-08-06 00:00:00+00:00,1.056e-05
2025-08-07 00:00:00+00:00,1.111e-05
2025-08-08 00:00:00+00:00,1.181e-05
2025-08-09 00:00:00+00:00,1.24e-05
2025-08-10 00:00:00+00:00,1.207e-05
2025-08-11 00:00:00+00:00,1.123e-05
2025-08-12 00:00:00+00:00,1.214e-05
2025-08-13 00:00:00+00:00,1.225e-05
2025-08-14 00:00:00+00:00,1.105e-05
2025-08-15 00:00:00+00:00,1.081e-05
2025-08-16 00:00:00+00:00,1.109e-05
2025-08-17 00:00:00+00:00,1.112e-05
2025-08-18 00:00:00+00:00,1.068e-05
2025-08-19 00:00:00+00:00,1.021e-05
2025-08-20 00:00:00+00:00,1.066e-05
2025-08-21 00:00:00+00:00,1.041e-05
2025-08-22 00:00:00+00:00,1.158e-05
2025-08-23 00:00:00+00:00,1.125e-05
2025-08-24 00:00:00+00:00,1.083e-05
2025-08-25 00:00:00+00:00,9.76e-06
2025-08-26 00:00:00+00:00,1.009e-05
2025-08-27 00:00:00+00:00,1.003e-05
2025-08-28 00:00:00+00:00,1.021e-05
2025-08-29 00:00:00+00:00,9.77e-06
2025-08-30 00:00:00+00:00,9.84e-06
2025-08-31 00:00:00+00:00,9.65e-06
2025-09-01 00:00:00+00:00,9.47e-06
2025-09-02 00:00:00+00:00,9.79e-06
2025-09-03 00:00:00+00:00,9.88e-06
2025-09-04 00:00:00+00:00,9.44e-06
2025-09-05 00:00:00+00:00,9.75e-06
2025-09-06 00:00:00+00:00,9.63e-06
2025-09-07 00:00:00+00:00,9.88e-06
2025-09-08 00:00:00+00:00,1.03e-05
2025-09-09 00:00:00+00:00,1.032e-05
2025-09-10 00:00:00+00:00,1.053e-05
2025-09-11 00:00:00+00:00,1.069e-05
2025-09-12 00:00:00+00:00,1.153e-05
2025-09-13 00:00:00+00:00,1.191e-05
2025-09-14 00:00:00+00:00,1.154e-05
2025-09-15 00:00:00+00:00,1.078e-05
2025-09-16 00:00:00+00:00,1.107e-05
2025-09-17 00:00:00+00:00,1.141e-05
2025-09-18 00:00:00+00:00,1.145e-05
2025-09-19 00:00:00+00:00,1.076e-05
2025-09-20 00:00:00+00:00,1.072e-05
2025-09-21 00:00:00+00:00,1.041e-05
2025-09-22 00:00:00+00:00,9.66e-06
2025-09-23 00:00:00+00:00,9.57e-06
2025-09-24 00:00:00+00:00,9.64e-06
2025-09-25 00:00:00+00:00,9.07e-06
2025-09-26 00:00:00+00:00,9.37e-06
2025-09-27 00:00:00+00:00,9.23e-06
2025-09-28 00:00:00+00:00,9.43e-06
2025-09-29 00:00:00+00:00,9.39e-06
2025-09-30 00:00:00+00:00,9.31e-06
2025-10-01 00:00:00+00:00,9.77e-06
2025-10-02 00:00:00+00:00,1.021e-05
2025-10-03 00:00:00+00:00,1.011e-05
2025-10-04 00:00:00+00:00,9.76e-06
2025-10-05 00:00:00+00:00,9.8e-06
2025-10-06 00:00:00+00:00,1.02e-05
2025-10-07 00:00:00+00:00,9.46e-06
2025-10-08 00:00:00+00:00,9.56e-06
2025-10-09 00:00:00+00:00,9.25e-06
2025-10-10 00:00:00+00:00,6.71e-06
2025-10-11 00:00:00+00:00,6.72e-06
2025-10-12 00:00:00+00:00,7.49e-06
2025-10-13 00:00:00+00:00,7.84e-06
2025-10-14 00:00:00+00:00,7.52e-06
2025-10-15 00:00:00+00:00,7.18e-06
2025-10-16 00:00:00+00:00,6.88e-06
2025-10-17 00:00:00+00:00,6.65e-06
2025-10-18 00:00:00+00:00,6.75e-06
2025-10-19 00:00:00+00:00,6.99e-06
2025-10-20 00:00:00+00:00,7.15e-06
2025-10-21 00:00:00+00:00,6.92e-06
2025-10-22 00:00:00+00:00,6.71e-06
2025-10-23 00:00:00+00:00,6.95e-06
2025-10-24 00:00:00+00:00,7.18e-06
2025-10-25 00:00:00+00:00,7.15e-06
2025-10-26 00:00:00+00:00,7.32e-06
2025-10-27 00:00:00+00:00,7.13e-06
2025-10-28 00:00:00+00:00,6.99e-06
2025-10-29 00:00:00+00:00,7.03e-06
2025-10-30 00:00:00+00:00,6.44e-06
2025-10-31 00:00:00+00:00,6.57e-06
2025-11-01 00:00:00+00:00,6.69e-06
2025-11-02 00:00:00+00:00,6.7e-06
2025-11-03 00:00:00+00:00,5.72e-06
2025-11-04 00:00:00+00:00,5.6e-06
2025-11-05 00:00:00+00:00,5.76e-06
2025-11-06 00:00:00+00:00,5.54e-06
2025-11-07 00:00:00+00:00,6.2e-06
2025-11-08 00:00:00+00:00,6.09e-06
2025-11-09 00:00:00+00:00,6.06e-06
2025-11-10 00:00:00+00:00,6.21e-06
2025-11-11 00:00:00+00:00,5.83e-06
2025-11-12 00:00:00+00:00,5.72e-06
2025-11-13 00:00:00+00:00,5.42e-06
2025-11-14 00:00:00+00:00,4.9e-06
2025-11-15 00:00:00+00:00,4.99e-06
2025-11-16 00:00:00+00:00,4.87e-06
2025-11-17 00:00:00+00:00,4.71e-06
2025-11-18 00:00:00+00:00,4.87e-06
2025-11-19 00:00:00+00:00,4.76e-06
2025-11-20 00:00:00+00:00,4.46e-06
2025-11-21 00:00:00+00:00,4.13e-06
2025-11-22 00:00:00+00:00,4.12e-06
2025-11-23 00:00:00+00:00,4.17e-06
2025-11-24 00:00:00+00:00,4.56e-06
2025-11-25 00:00:00+00:00,4.57e-06
2025-11-26 00:00:00+00:00,4.7e-06
2025-11-27 00:00:00+00:00,4.72e-06
2025-11-28 00:00:00+00:00,4.64e-06
2025-11-29 00:00:00+00:00,4.57e-06
2025-11-30 00:00:00+00:00,4.54e-06
2025-12-01 00:00:00+00:00,4.05e-06
2025-12-02 00:00:00+00:00,4.56e-06
2025-12-03 00:00:00+00:00,4.81e-06
2025-12-04 00:00:00+00:00,4.77e-06
2025-12-05 00:00:00+00:00,4.39e-06
2025-12-06 00:00:00+00:00,4.52e-06
2025-12-07 00:00:00+00:00,4.42e-06
2025-12-08 00:00:00+00:00,4.75e-06
2025-12-09 00:00:00+00:00,4.94e-06
2025-12-10 00:00:00+00:00,4.65e-06
2025-12-11 00:00:00+00:00,4.6e-06
2025-12-12 00:00:00+00:00,4.33e-06
2025-12-13 00:00:00+00:00,4.38e-06
2025-12-14 00:00:00+00:00,4.17e-06
2025-12-15 00:00:00+00:00,4.07e-06
2025-12-16 00:00:00+00:00,4.1e-06
2025-12-17 00:00:00+00:00,3.91e-06
2025-12-18 00:00:00+00:00,3.72e-06
2025-12-19 00:00:00+00:00,4.11e-06
2025-12-20 00:00:00+00:00,4.08e-06
2025-12-21 00:00:00+00:00,4.02e-06
2025-12-22 00:00:00+00:00,4.02e-06
2025-12-23 00:00:00+00:00,3.94e-06
2025-12-24 00:00:00+00:00,3.98e-06
2025-12-25 00:00:00+00:00,3.9e-06
2025-12-26 00:00:00+00:00,4.03e-06
2025-12-27 00:00:00+00:00,4.19e-06
2025-12-28 00:00:00+00:00,4.17e-06
2025-12-29 00:00:00+00:00,4.08e-06
2025-12-30 00:00:00+00:00,4.14e-06
2025-12-31 00:00:00+00:00,4.03e-06
2026-01-01 00:00:00+00:00,4.92e-06
2026-01-02 00:00:00+00:00,6.01e-06
2026-01-03 00:00:00+00:00,6.1e-06
