date,WLD/USDT
2025-07-28 00:00:00+00:00,1.117
2025-07-29 00:00:00+00:00,1.082
2025-07-30 00:00:00+00:00,1.063
2025-07-31 00:00:00+00:00,1.004
2025-08-01 00:00:00+00:00,0.964
2025-08-02 00:00:00+00:00,0.935
2025-08-03 00:00:00+00:00,0.975
2025-08-04 00:00:00+00:00,0.999
2025-08-05 00:00:00+00:00,0.946
2025-08-06 00:00:00+00:00,0.966
2025-08-07 00:00:00+00:00,1.024
2025-08-08 00:00:00+00:00,1.034
2025-08-09 00:00:00+00:00,1.077
2025-08-10 00:00:00+00:00,1.08
2025-08-11 00:00:00+00:00,0.989
2025-08-12 00:00:00+00:00,1.059
2025-08-13 00:00:00+00:00,1.118
2025-08-14 00:00:00+00:00,0.998
2025-08-15 00:00:00+00:00,0.987
2025-08-16 00:00:00+00:00,1.003
2025-08-17 00:00:00+00:00,1.0
2025-08-18 00:00:00+00:00,0.952
2025-08-19 00:00:00+00:00,0.9
2025-08-20 00:00:00+00:00,0.96
2025-08-21 00:00:00+00:00,0.934
2025-08-22 00:00:00+00:00,1.026
2025-08-23 00:00:00+00:00,1.01
2025-08-24 00:00:00+00:00,0.971
2025-08-25 00:00:00+00:00,0.882
2025-08-26 00:00:00+00:00,0.953
2025-08-27 00:00:00+00:00,0.932
2025-08-28 00:00:00+00:00,0.96
2025-08-29 00:00:00+00:00,0.904
2025-08-30 00:00:00+00:00,0.904
2025-08-31 00:00:00+00:00,0.883
2025-09-01 00:00:00+00:00,0.855
2025-09-02 00:00:00+00:00,0.888
2025-09-03 00:00:00+00:00,0.897
2025-09-04 00:00:00+00:00,0.865
2025-09-05 00:00:00+00:00,0.916
2025-09-06 00:00:00+00:00,0.963
2025-09-07 00:00:00+00:00,1.031
2025-09-08 00:00:00+00:00,1.571
2025-09-09 00:00:00+00:00,1.929
2025-09-10 00:00:00+00:00,1.868
2025-09-11 00:00:00+00:00,1.654
2025-09-12 00:00:00+00:00,1.665
2025-09-13 00:00:00+00:00,1.657
2025-09-14 00:00:00+00:00,1.576
2025-09-15 00:00:00+00:00,1.512
2025-09-16 00:00:00+00:00,1.513
2025-09-17 00:00:00+00:00,1.601
2025-09-18 00:00:00+00:00,1.603
2025-09-19 00:00:00+00:00,1.509
2025-09-20 00:00:00+00:00,1.503
2025-09-21 00:00:00+00:00,1.465
2025-09-22 00:00:00+00:00,1.392
2025-09-23 00:00:00+00:00,1.306
2025-09-24 00:00:00+00:00,1.354
2025-09-25 00:00:00+00:00,1.263
2025-09-26 00:00:00+00:00,1.285
