date,VIRTUAL/USDT
2025-11-27 00:00:00+00:00,1.0033
2025-11-28 00:00:00+00:00,0.9355
2025-11-29 00:00:00+00:00,0.9342
2025-11-30 00:00:00+00:00,0.9062
2025-12-01 00:00:00+00:00,0.8355
2025-12-02 00:00:00+00:00,0.9189
2025-12-03 00:00:00+00:00,0.9856
2025-12-04 00:00:00+00:00,0.917
2025-12-05 00:00:00+00:00,0.8444
2025-12-06 00:00:00+00:00,0.8511
2025-12-07 00:00:00+00:00,0.8304
2025-12-08 00:00:00+00:00,0.8343
2025-12-09 00:00:00+00:00,0.8865
2025-12-10 00:00:00+00:00,0.8407
2025-12-11 00:00:00+00:00,0.8418
2025-12-12 00:00:00+00:00,0.8003
2025-12-13 00:00:00+00:00,0.8084
2025-12-14 00:00:00+00:00,0.7631
2025-12-15 00:00:00+00:00,0.7228
2025-12-16 00:00:00+00:00,0.723
2025-12-17 00:00:00+00:00,0.6798
2025-12-18 00:00:00+00:00,0.6427
2025-12-19 00:00:00+00:00,0.7104
2025-12-20 00:00:00+00:00,0.7241
2025-12-21 00:00:00+00:00,0.7087
2025-12-22 00:00:00+00:00,0.7103
2025-12-23 00:00:00+00:00,0.701
2025-12-24 00:00:00+00:00,0.6984
2025-12-25 00:00:00+00:00,0.6709
2025-12-26 00:00:00+00:00,0.6946
2025-12-27 00:00:00+00:00,0.71
2025-12-28 00:00:00+00:00,0.6981
2025-12-29 00:00:00+00:00,0.6802
2025-12-30 00:00:00+00:00,0.678
2025-12-31 00:00:00+00:00,0.6458
2026-01-01 00:00:00+00:00,0.699
2026-01-02 00:00:00+00:00,0.7793
2026-01-03 00:00:00+00:00,0.875
2026-01-04 00:00:00+00:00,0.9056
2026-01-05 00:00:00+00:00,1.0924
2026-01-06 00:00:00+00:00,1.1445
2026-01-07 00:00:00+00:00,1.0478
2026-01-08 00:00:00+00:00,1.063
2026-01-09 00:00:00+00:00,1.0627
2026-01-10 00:00:00+00:00,1.047
2026-01-11 00:00:00+00:00,1.0439
2026-01-12 00:00:00+00:00,0.9857
2026-01-13 00:00:00+00:00,1.0521
2026-01-14 00:00:00+00:00,1.0225
2026-01-15 00:00:00+00:00,1.0028
2026-01-16 00:00:00+00:00,0.991
2026-01-17 00:00:00+00:00,0.9472
2026-01-18 00:00:00+00:00,0.8705
2026-01-19 00:00:00+00:00,0.8724
2026-01-20 00:00:00+00:00,0.8719
