date,DOGE/USDT
2025-09-07 00:00:00+00:00,0.22877
2025-09-08 00:00:00+00:00,0.24164
2025-09-09 00:00:00+00:00,0.24063
2025-09-10 00:00:00+00:00,0.24536
2025-09-11 00:00:00+00:00,0.25603
2025-09-12 00:00:00+00:00,0.2755
2025-09-13 00:00:00+00:00,0.28938
2025-09-14 00:00:00+00:00,0.27796
2025-09-15 00:00:00+00:00,0.26831
2025-09-16 00:00:00+00:00,0.26995
2025-09-17 00:00:00+00:00,0.28256
2025-09-18 00:00:00+00:00,0.27857
2025-09-19 00:00:00+00:00,0.26527
2025-09-20 00:00:00+00:00,0.26759
2025-09-21 00:00:00+00:00,0.26074
2025-09-22 00:00:00+00:00,0.24122
2025-09-23 00:00:00+00:00,0.23709
2025-09-24 00:00:00+00:00,0.24107
2025-09-25 00:00:00+00:00,0.22292
2025-09-26 00:00:00+00:00,0.23244
2025-09-27 00:00:00+00:00,0.23077
2025-09-28 00:00:00+00:00,0.23735
2025-09-29 00:00:00+00:00,0.23478
2025-09-30 00:00:00+00:00,0.23293
2025-10-01 00:00:00+00:00,0.24906
2025-10-02 00:00:00+00:00,0.262
2025-10-03 00:00:00+00:00,0.25819
2025-10-04 00:00:00+00:00,0.25084
2025-10-05 00:00:00+00:00,0.25284
2025-10-06 00:00:00+00:00,0.26603
2025-10-07 00:00:00+00:00,0.24682
2025-10-08 00:00:00+00:00,0.25564
2025-10-09 00:00:00+00:00,0.24849
2025-10-10 00:00:00+00:00,0.19349
2025-10-11 00:00:00+00:00,0.18527
2025-10-12 00:00:00+00:00,0.20717
2025-10-13 00:00:00+00:00,0.2138
2025-10-14 00:00:00+00:00,0.20437
2025-10-15 00:00:00+00:00,0.19621
2025-10-16 00:00:00+00:00,0.1885
2025-10-17 00:00:00+00:00,0.1847
2025-10-18 00:00:00+00:00,0.18962
2025-10-19 00:00:00+00:00,0.19535
2025-10-20 00:00:00+00:00,0.2
2025-10-21 00:00:00+00:00,0.19427
2025-10-22 00:00:00+00:00,0.18993
2025-10-23 00:00:00+00:00,0.19493
2025-10-24 00:00:00+00:00,0.19775
2025-10-25 00:00:00+00:00,0.19652
2025-10-26 00:00:00+00:00,0.20577
2025-10-27 00:00:00+00:00,0.20038
2025-10-28 00:00:00+00:00,0.19362
2025-10-29 00:00:00+00:00,0.19237
2025-10-30 00:00:00+00:00,0.18268
2025-10-31 00:00:00+00:00,0.18644
2025-11-01 00:00:00+00:00,0.18736
2025-11-02 00:00:00+00:00,0.18638
2025-11-03 00:00:00+00:00,0.16741
2025-11-04 00:00:00+00:00,0.16223
2025-11-05 00:00:00+00:00,0.16719
2025-11-06 00:00:00+00:00,0.16164
2025-11-07 00:00:00+00:00,0.17877
2025-11-08 00:00:00+00:00,0.17605
2025-11-09 00:00:00+00:00,0.1793
2025-11-10 00:00:00+00:00,0.18179
2025-11-11 00:00:00+00:00,0.17206
2025-11-12 00:00:00+00:00,0.17018
2025-11-13 00:00:00+00:00,0.16384
2025-11-14 00:00:00+00:00,0.15765
2025-11-15 00:00:00+00:00,0.16316
2025-11-16 00:00:00+00:00,0.15857
2025-11-17 00:00:00+00:00,0.15214
2025-11-18 00:00:00+00:00,0.16173
2025-11-19 00:00:00+00:00,0.1546
2025-11-20 00:00:00+00:00,0.14892
2025-11-21 00:00:00+00:00,0.14029
2025-11-22 00:00:00+00:00,0.14027
2025-11-23 00:00:00+00:00,0.145
2025-11-24 00:00:00+00:00,0.15181
2025-11-25 00:00:00+00:00,0.15301
2025-11-26 00:00:00+00:00,0.15474
2025-11-27 00:00:00+00:00,0.15264
2025-11-28 00:00:00+00:00,0.15017
2025-11-29 00:00:00+00:00,0.14837
2025-11-30 00:00:00+00:00,0.14599
2025-12-01 00:00:00+00:00,0.13547
2025-12-02 00:00:00+00:00,0.14577
2025-12-03 00:00:00+00:00,0.15166
2025-12-04 00:00:00+00:00,0.14739
2025-12-05 00:00:00+00:00,0.13956
2025-12-06 00:00:00+00:00,0.13975
2025-12-07 00:00:00+00:00,0.13867
2025-12-08 00:00:00+00:00,0.14259
2025-12-09 00:00:00+00:00,0.14797
2025-12-10 00:00:00+00:00,0.14332
2025-12-11 00:00:00+00:00,0.14033
2025-12-12 00:00:00+00:00,0.13692
2025-12-13 00:00:00+00:00,0.13905
2025-12-14 00:00:00+00:00,0.13408
2025-12-15 00:00:00+00:00,0.12975
2025-12-16 00:00:00+00:00,0.13179
2025-12-17 00:00:00+00:00,0.12633
2025-12-18 00:00:00+00:00,0.12207
2025-12-19 00:00:00+00:00,0.13222
2025-12-20 00:00:00+00:00,0.13194
2025-12-21 00:00:00+00:00,0.13112
2025-12-22 00:00:00+00:00,0.13258
2025-12-23 00:00:00+00:00,0.12928
2025-12-24 00:00:00+00:00,0.12856
2025-12-25 00:00:00+00:00,0.12365
2025-12-26 00:00:00+00:00,0.12211
2025-12-27 00:00:00+00:00,0.12435
2025-12-28 00:00:00+00:00,0.12393
2025-12-29 00:00:00+00:00,0.12288
2025-12-30 00:00:00+00:00,0.12336
2025-12-31 00:00:00+00:00,0.11747
2026-01-01 00:00:00+00:00,0.12683
2026-01-02 00:00:00+00:00,0.14188
2026-01-03 00:00:00+00:00,0.14315
2026-01-04 00:00:00+00:00,0.14953
2026-01-05 00:00:00+00:00,0.15171
2026-01-06 00:00:00+00:00,0.15055
2026-01-07 00:00:00+00:00,0.14642
2026-01-08 00:00:00+00:00,0.14194
2026-01-09 00:00:00+00:00,0.14071
2026-01-10 00:00:00+00:00,0.13965
2026-01-11 00:00:00+00:00,0.13801
2026-01-12 00:00:00+00:00,0.13662
2026-01-13 00:00:00+00:00,0.14828
2026-01-14 00:00:00+00:00,0.14718
2026-01-15 00:00:00+00:00,0.14004
2026-01-16 00:00:00+00:00,0.13813
2026-01-17 00:00:00+00:00,0.13788
2026-01-18 00:00:00+00:00,0.13164
2026-01-19 00:00:00+00:00,0.12916
2026-01-20 00:00:00+00:00,0.12882
