date,PENDLE/USDT
2025-08-24 00:00:00+00:00,5.898
2025-08-25 00:00:00+00:00,5.143
2025-08-26 00:00:00+00:00,5.204
2025-08-27 00:00:00+00:00,5.1
2025-08-28 00:00:00+00:00,4.9
2025-08-29 00:00:00+00:00,4.641
2025-08-30 00:00:00+00:00,4.809
2025-08-31 00:00:00+00:00,4.613
2025-09-01 00:00:00+00:00,4.503
2025-09-02 00:00:00+00:00,4.561
2025-09-03 00:00:00+00:00,4.752
2025-09-04 00:00:00+00:00,4.493
2025-09-05 00:00:00+00:00,4.727
2025-09-06 00:00:00+00:00,4.598
2025-09-07 00:00:00+00:00,4.639
2025-09-08 00:00:00+00:00,4.84
2025-09-09 00:00:00+00:00,4.736
2025-09-10 00:00:00+00:00,4.79
2025-09-11 00:00:00+00:00,5.348
2025-09-12 00:00:00+00:00,5.264
2025-09-13 00:00:00+00:00,5.185
2025-09-14 00:00:00+00:00,5.057
2025-09-15 00:00:00+00:00,4.933
2025-09-16 00:00:00+00:00,4.976
2025-09-17 00:00:00+00:00,5.193
2025-09-18 00:00:00+00:00,5.27
2025-09-19 00:00:00+00:00,5.153
2025-09-20 00:00:00+00:00,5.077
2025-09-21 00:00:00+00:00,5.011
2025-09-22 00:00:00+00:00,4.885
2025-09-23 00:00:00+00:00,4.699
2025-09-24 00:00:00+00:00,4.742
2025-09-25 00:00:00+00:00,4.432
2025-09-26 00:00:00+00:00,4.667
2025-09-27 00:00:00+00:00,4.608
2025-09-28 00:00:00+00:00,4.825
2025-09-29 00:00:00+00:00,4.738
2025-09-30 00:00:00+00:00,4.471
2025-10-01 00:00:00+00:00,4.832
2025-10-02 00:00:00+00:00,5.014
2025-10-03 00:00:00+00:00,4.877
2025-10-04 00:00:00+00:00,4.767
2025-10-05 00:00:00+00:00,4.698
2025-10-06 00:00:00+00:00,5.016
2025-10-07 00:00:00+00:00,4.801
2025-10-08 00:00:00+00:00,4.713
2025-10-09 00:00:00+00:00,4.545
2025-10-10 00:00:00+00:00,3.541
2025-10-11 00:00:00+00:00,3.352
2025-10-12 00:00:00+00:00,3.877
2025-10-13 00:00:00+00:00,3.875
2025-10-14 00:00:00+00:00,3.601
2025-10-15 00:00:00+00:00,3.272
2025-10-16 00:00:00+00:00,3.23
2025-10-17 00:00:00+00:00,3.149
2025-10-18 00:00:00+00:00,3.234
2025-10-19 00:00:00+00:00,3.206
2025-10-20 00:00:00+00:00,3.19
2025-10-21 00:00:00+00:00,3.119
2025-10-22 00:00:00+00:00,3.033
