date,TIA/USDT
2025-09-16 00:00:00+00:00,1.703
2025-09-17 00:00:00+00:00,1.786
2025-09-18 00:00:00+00:00,1.81
2025-09-19 00:00:00+00:00,1.698
2025-09-20 00:00:00+00:00,1.724
2025-09-21 00:00:00+00:00,1.679
2025-09-22 00:00:00+00:00,1.501
2025-09-23 00:00:00+00:00,1.464
2025-09-24 00:00:00+00:00,1.449
2025-09-25 00:00:00+00:00,1.367
2025-09-26 00:00:00+00:00,1.419
2025-09-27 00:00:00+00:00,1.41
2025-09-28 00:00:00+00:00,1.438
2025-09-29 00:00:00+00:00,1.411
2025-09-30 00:00:00+00:00,1.382
2025-10-01 00:00:00+00:00,1.455
2025-10-02 00:00:00+00:00,1.502
2025-10-03 00:00:00+00:00,1.505
2025-10-04 00:00:00+00:00,1.55
2025-10-05 00:00:00+00:00,1.476
2025-10-06 00:00:00+00:00,1.542
2025-10-07 00:00:00+00:00,1.449
2025-10-08 00:00:00+00:00,1.489
2025-10-09 00:00:00+00:00,1.437
2025-10-10 00:00:00+00:00,0.927
2025-10-11 00:00:00+00:00,0.925
2025-10-12 00:00:00+00:00,1.062
2025-10-13 00:00:00+00:00,1.183
2025-10-14 00:00:00+00:00,1.162
2025-10-15 00:00:00+00:00,1.069
2025-10-16 00:00:00+00:00,1.03
2025-10-17 00:00:00+00:00,1.006
2025-10-18 00:00:00+00:00,1.007
2025-10-19 00:00:00+00:00,1.019
2025-10-20 00:00:00+00:00,1.023
2025-10-21 00:00:00+00:00,1.002
2025-10-22 00:00:00+00:00,0.963
2025-10-23 00:00:00+00:00,1.003
2025-10-24 00:00:00+00:00,1.033
2025-10-25 00:00:00+00:00,1.035
2025-10-26 00:00:00+00:00,1.071
2025-10-27 00:00:00+00:00,1.036
2025-10-28 00:00:00+00:00,1.008
2025-10-29 00:00:00+00:00,1.01
2025-10-30 00:00:00+00:00,0.912
2025-10-31 00:00:00+00:00,0.9
2025-11-01 00:00:00+00:00,0.971
2025-11-02 00:00:00+00:00,0.964
