date,BCH/USDT
2025-12-04 00:00:00+00:00,574.9
2025-12-05 00:00:00+00:00,559.6
2025-12-06 00:00:00+00:00,583.5
2025-12-07 00:00:00+00:00,598.5
2025-12-08 00:00:00+00:00,579.1
2025-12-09 00:00:00+00:00,585.0
2025-12-10 00:00:00+00:00,572.6
2025-12-11 00:00:00+00:00,574.3
2025-12-12 00:00:00+00:00,581.9
2025-12-13 00:00:00+00:00,579.9
2025-12-14 00:00:00+00:00,558.3
2025-12-15 00:00:00+00:00,536.1
2025-12-16 00:00:00+00:00,546.3
2025-12-17 00:00:00+00:00,546.7
2025-12-18 00:00:00+00:00,565.9
2025-12-19 00:00:00+00:00,624.9
2025-12-20 00:00:00+00:00,592.1
2025-12-21 00:00:00+00:00,591.1
2025-12-22 00:00:00+00:00,590.4
2025-12-23 00:00:00+00:00,572.5
2025-12-24 00:00:00+00:00,568.7
2025-12-25 00:00:00+00:00,589.8
2025-12-26 00:00:00+00:00,594.9
2025-12-27 00:00:00+00:00,623.4
2025-12-28 00:00:00+00:00,622.4
2025-12-29 00:00:00+00:00,599.2
2025-12-30 00:00:00+00:00,595.8
2025-12-31 00:00:00+00:00,599.5
2026-01-01 00:00:00+00:00,593.2
2026-01-02 00:00:00+00:00,609.8
2026-01-03 00:00:00+00:00,654.5
2026-01-04 00:00:00+00:00,639.1
2026-01-05 00:00:00+00:00,645.2
2026-01-06 00:00:00+00:00,638.2
2026-01-07 00:00:00+00:00,629.2
2026-01-08 00:00:00+00:00,632.0
2026-01-09 00:00:00+00:00,634.7
2026-01-10 00:00:00+00:00,643.9
2026-01-11 00:00:00+00:00,649.1
2026-01-12 00:00:00+00:00,621.7
2026-01-13 00:00:00+00:00,617.0
2026-01-14 00:00:00+00:00,597.4
2026-01-15 00:00:00+00:00,590.8
2026-01-16 00:00:00+00:00,599.5
2026-01-17 00:00:00+00:00,594.1
2026-01-18 00:00:00+00:00,591.4
2026-01-19 00:00:00+00:00,584.0
2026-01-20 00:00:00+00:00,585.5
