date,NEAR/USDT
2025-11-11 00:00:00+00:00,2.548
2025-11-12 00:00:00+00:00,2.535
2025-11-13 00:00:00+00:00,2.448
2025-11-14 00:00:00+00:00,2.355
2025-11-15 00:00:00+00:00,2.407
2025-11-16 00:00:00+00:00,2.29
2025-11-17 00:00:00+00:00,2.27
2025-11-18 00:00:00+00:00,2.276
2025-11-19 00:00:00+00:00,2.377
2025-11-20 00:00:00+00:00,2.074
2025-11-21 00:00:00+00:00,1.864
2025-11-22 00:00:00+00:00,1.841
2025-11-23 00:00:00+00:00,1.822
2025-11-24 00:00:00+00:00,1.905
2025-11-25 00:00:00+00:00,1.913
2025-11-26 00:00:00+00:00,1.937
2025-11-27 00:00:00+00:00,1.906
2025-11-28 00:00:00+00:00,1.879
2025-11-29 00:00:00+00:00,1.851
2025-11-30 00:00:00+00:00,1.805
2025-12-01 00:00:00+00:00,1.627
2025-12-02 00:00:00+00:00,1.804
2025-12-03 00:00:00+00:00,1.845
2025-12-04 00:00:00+00:00,1.797
2025-12-05 00:00:00+00:00,1.681
2025-12-06 00:00:00+00:00,1.709
2025-12-07 00:00:00+00:00,1.702
2025-12-08 00:00:00+00:00,1.745
2025-12-09 00:00:00+00:00,1.811
2025-12-10 00:00:00+00:00,1.76
2025-12-11 00:00:00+00:00,1.673
2025-12-12 00:00:00+00:00,1.637
2025-12-13 00:00:00+00:00,1.664
2025-12-14 00:00:00+00:00,1.591
2025-12-15 00:00:00+00:00,1.545
2025-12-16 00:00:00+00:00,1.57
2025-12-17 00:00:00+00:00,1.481
2025-12-18 00:00:00+00:00,1.427
2025-12-19 00:00:00+00:00,1.539
2025-12-20 00:00:00+00:00,1.523
2025-12-21 00:00:00+00:00,1.509
2025-12-22 00:00:00+00:00,1.505
2025-12-23 00:00:00+00:00,1.486
2025-12-24 00:00:00+00:00,1.455
2025-12-25 00:00:00+00:00,1.439
2025-12-26 00:00:00+00:00,1.519
2025-12-27 00:00:00+00:00,1.595
2025-12-28 00:00:00+00:00,1.582
2025-12-29 00:00:00+00:00,1.524
2025-12-30 00:00:00+00:00,1.516
2025-12-31 00:00:00+00:00,1.514
2026-01-01 00:00:00+00:00,1.627
2026-01-02 00:00:00+00:00,1.692
2026-01-03 00:00:00+00:00,1.711
2026-01-04 00:00:00+00:00,1.728
2026-01-05 00:00:00+00:00,1.774
2026-01-06 00:00:00+00:00,1.808
2026-01-07 00:00:00+00:00,1.722
2026-01-08 00:00:00+00:00,1.686
2026-01-09 00:00:00+00:00,1.703
2026-01-10 00:00:00+00:00,1.689
2026-01-11 00:00:00+00:00,1.702
2026-01-12 00:00:00+00:00,1.675
2026-01-13 00:00:00+00:00,1.859
2026-01-14 00:00:00+00:00,1.799
2026-01-15 00:00:00+00:00,1.722
2026-01-16 00:00:00+00:00,1.731
2026-01-17 00:00:00+00:00,1.751
2026-01-18 00:00:00+00:00,1.629
2026-01-19 00:00:00+00:00,1.597
2026-01-20 00:00:00+00:00,1.588
