date,ME/USDT
2025-06-16 00:00:00+00:00,0.794
2025-06-17 00:00:00+00:00,0.756
2025-06-18 00:00:00+00:00,0.774
2025-06-19 00:00:00+00:00,0.749
2025-06-20 00:00:00+00:00,0.719
2025-06-21 00:00:00+00:00,0.677
2025-06-22 00:00:00+00:00,0.667
2025-06-23 00:00:00+00:00,0.731
2025-06-24 00:00:00+00:00,0.734
2025-06-25 00:00:00+00:00,0.723
2025-06-26 00:00:00+00:00,0.717
2025-06-27 00:00:00+00:00,0.729
2025-06-28 00:00:00+00:00,0.74
2025-06-29 00:00:00+00:00,0.755
2025-06-30 00:00:00+00:00,0.731
2025-07-01 00:00:00+00:00,0.707
2025-07-02 00:00:00+00:00,0.77
2025-07-03 00:00:00+00:00,0.775
2025-07-04 00:00:00+00:00,0.729
2025-07-05 00:00:00+00:00,0.729
2025-07-06 00:00:00+00:00,0.739
2025-07-07 00:00:00+00:00,0.732
2025-07-08 00:00:00+00:00,0.739
2025-07-09 00:00:00+00:00,0.761
2025-07-10 00:00:00+00:00,0.804
2025-07-11 00:00:00+00:00,0.799
2025-07-12 00:00:00+00:00,0.804
2025-07-13 00:00:00+00:00,0.855
2025-07-14 00:00:00+00:00,0.84
2025-07-15 00:00:00+00:00,0.85
2025-07-16 00:00:00+00:00,0.861
2025-07-17 00:00:00+00:00,0.853
2025-07-18 00:00:00+00:00,0.851
2025-07-19 00:00:00+00:00,0.861
2025-07-20 00:00:00+00:00,0.897
2025-07-21 00:00:00+00:00,0.97
2025-07-22 00:00:00+00:00,0.97
2025-07-23 00:00:00+00:00,0.889
2025-07-24 00:00:00+00:00,0.856
2025-07-25 00:00:00+00:00,0.875
2025-07-26 00:00:00+00:00,0.876
2025-07-27 00:00:00+00:00,0.901
2025-07-28 00:00:00+00:00,0.83
2025-07-29 00:00:00+00:00,0.816
2025-07-30 00:00:00+00:00,0.793
2025-07-31 00:00:00+00:00,0.749
2025-08-01 00:00:00+00:00,0.729
2025-08-02 00:00:00+00:00,0.717
2025-08-03 00:00:00+00:00,0.733
2025-08-04 00:00:00+00:00,0.749
2025-08-05 00:00:00+00:00,0.713
2025-08-06 00:00:00+00:00,0.718
2025-08-07 00:00:00+00:00,0.737
2025-08-08 00:00:00+00:00,0.743
2025-08-09 00:00:00+00:00,0.77
2025-08-10 00:00:00+00:00,0.757
2025-08-11 00:00:00+00:00,0.721
2025-08-12 00:00:00+00:00,0.748
2025-08-13 00:00:00+00:00,0.764
2025-08-14 00:00:00+00:00,0.713
2025-08-15 00:00:00+00:00,0.709
2025-08-16 00:00:00+00:00,0.723
2025-08-17 00:00:00+00:00,0.716
2025-08-18 00:00:00+00:00,0.7
2025-08-19 00:00:00+00:00,0.67
2025-08-20 00:00:00+00:00,0.695
2025-08-21 00:00:00+00:00,0.672
2025-08-22 00:00:00+00:00,0.727
2025-08-23 00:00:00+00:00,0.724
2025-08-24 00:00:00+00:00,0.707
2025-08-25 00:00:00+00:00,0.651
2025-08-26 00:00:00+00:00,0.679
2025-08-27 00:00:00+00:00,0.682
2025-08-28 00:00:00+00:00,0.72
2025-08-29 00:00:00+00:00,0.681
2025-08-30 00:00:00+00:00,0.689
2025-08-31 00:00:00+00:00,0.674
2025-09-01 00:00:00+00:00,0.659
2025-09-02 00:00:00+00:00,0.673
2025-09-03 00:00:00+00:00,0.676
2025-09-04 00:00:00+00:00,0.653
2025-09-05 00:00:00+00:00,0.661
2025-09-06 00:00:00+00:00,0.659
2025-09-07 00:00:00+00:00,0.667
2025-09-08 00:00:00+00:00,0.674
2025-09-09 00:00:00+00:00,0.684
2025-09-10 00:00:00+00:00,0.688
2025-09-11 00:00:00+00:00,0.688
2025-09-12 00:00:00+00:00,0.71
2025-09-13 00:00:00+00:00,0.725
2025-09-14 00:00:00+00:00,0.702
2025-09-15 00:00:00+00:00,0.676
2025-09-16 00:00:00+00:00,0.677
2025-09-17 00:00:00+00:00,0.689
2025-09-18 00:00:00+00:00,0.698
2025-09-19 00:00:00+00:00,0.668
2025-09-20 00:00:00+00:00,0.676
2025-09-21 00:00:00+00:00,0.733
2025-09-22 00:00:00+00:00,0.761
2025-09-23 00:00:00+00:00,0.712
2025-09-24 00:00:00+00:00,0.733
2025-09-25 00:00:00+00:00,0.671
2025-09-26 00:00:00+00:00,0.668
2025-09-27 00:00:00+00:00,0.654
2025-09-28 00:00:00+00:00,0.657
2025-09-29 00:00:00+00:00,0.619
2025-09-30 00:00:00+00:00,0.587
2025-10-01 00:00:00+00:00,0.606
2025-10-02 00:00:00+00:00,0.623
2025-10-03 00:00:00+00:00,0.635
2025-10-04 00:00:00+00:00,0.617
2025-10-05 00:00:00+00:00,0.606
2025-10-06 00:00:00+00:00,0.621
2025-10-07 00:00:00+00:00,0.587
2025-10-08 00:00:00+00:00,0.597
2025-10-09 00:00:00+00:00,0.581
2025-10-10 00:00:00+00:00,0.41
2025-10-11 00:00:00+00:00,0.419
2025-10-12 00:00:00+00:00,0.463
2025-10-13 00:00:00+00:00,0.498
2025-10-14 00:00:00+00:00,0.469
2025-10-15 00:00:00+00:00,0.448
2025-10-16 00:00:00+00:00,0.434
2025-10-17 00:00:00+00:00,0.421
2025-10-18 00:00:00+00:00,0.429
2025-10-19 00:00:00+00:00,0.436
2025-10-20 00:00:00+00:00,0.446
2025-10-21 00:00:00+00:00,0.434
2025-10-22 00:00:00+00:00,0.421
2025-10-23 00:00:00+00:00,0.43
2025-10-24 00:00:00+00:00,0.438
2025-10-25 00:00:00+00:00,0.437
2025-10-26 00:00:00+00:00,0.452
2025-10-27 00:00:00+00:00,0.511
2025-10-28 00:00:00+00:00,0.471
2025-10-29 00:00:00+00:00,0.463
2025-10-30 00:00:00+00:00,0.435
2025-10-31 00:00:00+00:00,0.442
2025-11-01 00:00:00+00:00,0.461
2025-11-02 00:00:00+00:00,0.462
2025-11-03 00:00:00+00:00,0.404
2025-11-04 00:00:00+00:00,0.394
2025-11-05 00:00:00+00:00,0.404
2025-11-06 00:00:00+00:00,0.397
2025-11-07 00:00:00+00:00,0.44
2025-11-08 00:00:00+00:00,0.429
2025-11-09 00:00:00+00:00,0.424
2025-11-10 00:00:00+00:00,0.433
2025-11-11 00:00:00+00:00,0.405
2025-11-12 00:00:00+00:00,0.409
2025-11-13 00:00:00+00:00,0.396
2025-11-14 00:00:00+00:00,0.385
2025-11-15 00:00:00+00:00,0.392
2025-11-16 00:00:00+00:00,0.383
2025-11-17 00:00:00+00:00,0.375
2025-11-18 00:00:00+00:00,0.384
2025-11-19 00:00:00+00:00,0.378
