,symbol,base,quote,quoteVolume,last,timestamp
30,BCH/USDT,BCH,USDT,21880095.4192,585.5,2026-01-20T00:48:54.079338+00:00
31,UNI/USDT,UNI,USDT,20764972.94317,5.007,2026-01-20T00:48:54.079745+00:00
32,BERA/USDT,BERA,USDT,19827208.750641,0.934,2026-01-20T00:48:54.081236+00:00
33,PUMP/USDT,PUMP,USDT,19653002.536652,0.002612,2026-01-20T00:48:54.081531+00:00
34,TAO/USDT,TAO,USDT,19143439.15963,252.0,2026-01-20T00:48:54.081018+00:00
35,FIL/USDT,FIL,USDT,18687289.38866,1.382,2026-01-20T00:48:54.079807+00:00
36,VIRTUAL/USDT,VIRTUAL,USDT,16411264.24461,0.8773,2026-01-20T00:48:54.081340+00:00
37,ARB/USDT,ARB,USDT,16265729.72669,0.1928,2026-01-20T00:48:54.080740+00:00
38,APT/USDT,APT,USDT,15237827.86595,1.607,2026-01-20T00:48:54.080641+00:00
39,CHZ/USDT,CHZ,USDT,14044235.73579,0.05641,2026-01-20T00:48:54.079261+00:00
40,DOT/USDT,DOT,USDT,13829145.45089,2.022,2026-01-20T00:48:54.079650+00:00
41,EUR/USDT,EUR,USDT,13783245.87543,1.1641,2026-01-20T00:48:54.079357+00:00
42,GIGGLE/USDT,GIGGLE,USDT,12941861.89395,55.85,2026-01-20T00:48:54.081623+00:00
43,HBAR/USDT,HBAR,USDT,12789066.3133,0.11087,2026-01-20T00:48:54.079295+00:00
44,WLD/USDT,WLD,USDT,12511550.22632,0.5028,2026-01-20T00:48:54.080814+00:00
45,FET/USDT,FET,USDT,12346983.87421,0.248,2026-01-20T00:48:54.079079+00:00
46,ACH/USDT,ACH,USDT,11728086.58019,0.01188,2026-01-20T00:48:54.080488+00:00
47,PENGU/USDT,PENGU,USDT,11510464.370096,0.010346,2026-01-20T00:48:54.081194+00:00
48,XUSD/USDT,XUSD,USDT,11419328.2186,1.0007,2026-01-20T00:48:54.081289+00:00
49,EIGEN/USDT,EIGEN,USDT,11079379.36039,0.341,2026-01-20T00:48:54.081115+00:00
50,TON/USDT,TON,USDT,11035196.59506,1.581,2026-01-20T00:48:54.081070+00:00
51,XPL/USDT,XPL,USDT,10813099.35653,0.1332,2026-01-20T00:48:54.081563+00:00
52,WIF/USDT,WIF,USDT,10762477.52872,0.352,2026-01-20T00:48:54.080975+00:00
53,SCRT/USDT,SCRT,USDT,10529200.79257,0.1575,2026-01-20T00:48:54.080506+00:00
54,BONK/USDT,BONK,USDT,10351962.02719598,9.3e-06,2026-01-20T00:48:54.080908+00:00
55,XLM/USDT,XLM,USDT,10297507.3326,0.2153,2026-01-20T00:48:54.078865+00:00
56,XVG/USDT,XVG,USDT,10164214.142253,0.007151,2026-01-20T00:48:54.080131+00:00
57,POL/USDT,POL,USDT,9594068.33341,0.1363,2026-01-20T00:48:54.081089+00:00
58,AAVE/USDT,AAVE,USDT,9249064.88651,163.97,2026-01-20T00:48:54.079795+00:00
59,ONDO/USDT,ONDO,USDT,9237183.81698,0.3479,2026-01-20T00:48:54.081331+00:00
60,BFUSD/USDT,BFUSD,USDT,9195570.1776,0.9996,2026-01-20T00:48:54.081463+00:00
61,OG/USDT,OG,USDT,8980096.8452,4.144,2026-01-20T00:48:54.079917+00:00
62,GUN/USDT,GUN,USDT,8879825.49678,0.02636,2026-01-20T00:48:54.081321+00:00
63,TIA/USDT,TIA,USDT,8715771.700211,0.4941,2026-01-20T00:48:54.080850+00:00
64,BIO/USDT,BIO,USDT,8617213.7817,0.0466,2026-01-20T00:48:54.081198+00:00
65,RENDER/USDT,RENDER,USDT,8578869.31638,2.066,2026-01-20T00:48:54.081065+00:00
66,ZKP/USDT,ZKP,USDT,8433770.26582,0.1251,2026-01-20T00:48:54.081676+00:00
67,QNT/USDT,QNT,USDT,8290346.15765,83.39,2026-01-20T00:48:54.080188+00:00
68,TRUMP/USDT,TRUMP,USDT,8282364.130924,5.007,2026-01-20T00:48:54.081228+00:00
69,SEI/USDT,SEI,USDT,7728792.51775,0.1103,2026-01-20T00:48:54.080820+00:00
70,SHIB/USDT,SHIB,USDT,7665065.75138148,8.09e-06,2026-01-20T00:48:54.080092+00:00
71,SHELL/USDT,SHELL,USDT,7597596.57219,0.0558,2026-01-20T00:48:54.081264+00:00
72,MANA/USDT,MANA,USDT,7407794.3914,0.1594,2026-01-20T00:48:54.079583+00:00
73,WLFI/USDT,WLFI,USDT,7391434.27526,0.1648,2026-01-20T00:48:54.081504+00:00
74,ETHFI/USDT,ETHFI,USDT,7237481.4283,0.643,2026-01-20T00:48:54.080995+00:00
75,MET/USDT,MET,USDT,7171401.41599,0.282,2026-01-20T00:48:54.081653+00:00
76,USDE/USDT,USDE,USDT,7083757.0633,1.0003,2026-01-20T00:48:54.081517+00:00
77,STO/USDT,STO,USDT,6987998.92425,0.0993,2026-01-20T00:48:54.081366+00:00
78,AVNT/USDT,AVNT,USDT,6916589.11518,0.2876,2026-01-20T00:48:54.081536+00:00
79,STRK/USDT,STRK,USDT,6499233.791071,0.0817,2026-01-20T00:48:54.080957+00:00
