,id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
24,coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,https://coin-images.coingecko.com/coins/images/40143/large/cbbtc.webp?1726136727,93026.0,7175927168,25,7175927168,351677916.0,95487.0,92269.0,-2137.6435615337687,-2.24629,-149203447.09903145,-2.03687,77145.14708069,77145.14708069,,125954.0,-26.14883,2025-10-06T18:58:50.734Z,57439.0,61.94354,2024-09-12T14:07:41.775Z,,2026-01-19T09:24:46.084Z
25,stellar,xlm,Stellar,https://coin-images.coingecko.com/coins/images/100/large/fmpFRHHQ_400x400.jpg?1735231350,0.213936,6935010820,26,10697196864,217093468.0,0.227775,0.210036,-0.01308954532942777,-5.76566,-424300412.8377056,-5.76549,32416243005.68404,50001786883.65895,,0.875563,-75.54697,2018-01-03T00:00:00.000Z,0.00047612,44867.68927,2015-03-05T00:00:00.000Z,,2026-01-19T09:24:52.332Z
26,ethena-usde,usde,Ethena USDe,https://coin-images.coingecko.com/coins/images/33613/large/usde.png?1733810059,1.002,6487204160,27,6487204160,327953406.0,1.005,1.002,8.64e-06,0.00086,814008.0,0.01255,6472029175.749969,6472029175.749969,,1.034,-3.07044,2025-12-09T17:10:12.652Z,0.929486,7.83107,2024-10-04T07:57:15.809Z,,2026-01-19T09:24:46.876Z
27,zcash,zec,Zcash,https://coin-images.coingecko.com/coins/images/486/large/circle-zcash-color.png?1696501740,368.96,6089223943,28,6089773921,571232995.0,400.38,357.01,-31.419858799877545,-7.84752,-518278668.18771744,-7.84379,16503851.7280448,16505342.3530448,21000000.0,3191.93,-88.44086,2016-10-29T00:00:00.000Z,16.08,2194.50563,2024-07-05T04:22:29.321Z,,2026-01-19T09:24:55.386Z
28,sui,sui,Sui,https://coin-images.coingecko.com/coins/images/26375/large/sui-ocean-square.png?1727791290,1.57,5960295085,29,15717318936,1117086446.0,1.79,1.56,-0.2057427484439751,-11.58209,-777087745.0767441,-11.53397,3792183074.773887,10000000000.0,10000000000.0,5.35,-70.62332,2025-01-04T22:56:18.063Z,0.364846,330.49467,2023-10-19T10:40:30.078Z,,2026-01-19T09:24:52.641Z
29,hyperliquid,hype,Hyperliquid,https://coin-images.coingecko.com/coins/images/50882/large/hyperliquid.jpg?1729431300,24.06,5734416522,30,23147734867,207236820.0,26.07,23.73,-1.8123170602079135,-7.00444,-435377152.23648167,-7.05659,238385315.9541414,962274028.9541414,1000000000.0,59.3,-59.42656,2025-09-18T03:30:30.650Z,3.81,531.74518,2024-11-29T09:30:30.871Z,,2026-01-19T09:24:47.954Z
30,avalanche-2,avax,Avalanche,https://coin-images.coingecko.com/coins/images/12559/large/Avalanche_Circle_RedWhite_Trans.png?1696512369,12.79,5510858273,31,5915810707,420085730.0,13.74,12.51,-0.838124474448172,-6.15079,-360317889.0653782,-6.13706,430956743.2973045,462624584.0286026,720000000.0,144.96,-91.17731,2021-11-21T14:18:56.538Z,2.8,356.59333,2020-12-31T13:15:21.540Z,,2026-01-19T09:24:55.137Z
31,litecoin,ltc,Litecoin,https://coin-images.coingecko.com/coins/images/2/large/litecoin.png?1696501400,70.03,5374728263,32,5375137946,633699965.0,75.76,69.24,-5.398182472072747,-7.15659,-413181960.71713257,-7.13871,76747514.48347135,76753364.48347135,84000000.0,410.26,-82.92281,2021-05-10T03:13:07.904Z,1.15,5998.38535,2015-01-14T00:00:00.000Z,,2026-01-19T09:24:49.091Z
32,hedera-hashgraph,hbar,Hedera,https://coin-images.coingecko.com/coins/images/3688/large/hbar.png?1696504364,0.109515,4687319488,33,5476560430,185318144.0,0.117655,0.107225,-0.008006007515554497,-6.81241,-343471923.914876,-6.82739,42794373842.85836,50000000000.0,50000000000.0,0.569229,-80.75084,2021-09-15T10:40:28.318Z,0.00986111,1011.15035,2020-01-02T17:30:24.852Z,,2026-01-19T09:24:47.728Z
33,usdt0,usdt0,USDT0,https://coin-images.coingecko.com/coins/images/53705/large/usdt0.jpg?1737086183,0.999607,4667170462,34,4667170462,198912718.0,1.001,0.998323,-0.000166452883099577,-0.01665,25356941.0,0.54627,4669141300.42239,4669141300.42239,,1.052,-4.98292,2025-01-23T22:34:53.341Z,0.975737,2.44724,2025-02-28T01:35:58.101Z,,2026-01-19T09:24:53.910Z
34,shiba-inu,shib,Shiba Inu,https://coin-images.coingecko.com/coins/images/11939/large/shiba.png?1696511800,7.86e-06,4636560828,35,4638579125,161760210.0,8.45e-06,7.83e-06,-5.04118585555e-07,-6.0237,-296076130.61758614,-6.00239,589244003307848.1,589500501522350.5,,8.616e-05,-90.87174,2021-10-28T03:54:55.568Z,5.6366e-11,13952895.47099,2020-11-28T11:26:25.838Z,,2026-01-19T09:24:51.618Z
35,dai,dai,Dai,https://coin-images.coingecko.com/coins/images/9956/large/Badge_Dai.png?1696509996,0.999706,4422772947,36,4422772947,67273945.0,1.0,0.999163,-3.8362463431918e-05,-0.00384,1393169.0,0.03151,4424489071.552485,4424489071.552485,,1.22,-17.9959,2020-03-13T03:02:50.373Z,0.88196,13.33542,2023-03-11T07:50:50.514Z,,2026-01-19T09:24:46.175Z
36,world-liberty-financial,wlfi,World Liberty Financial,https://coin-images.coingecko.com/coins/images/50767/large/wlfi.png?1756438915,0.162107,4416930170,37,16212605283,116444154.0,0.172226,0.159451,-0.006407695858154205,-3.80245,-173012349.0066433,-3.76938,27243802538.151154,100000000000.0,100000000000.0,0.331336,-51.07467,2025-09-01T12:20:09.597Z,0.104606,54.9697,2025-10-10T21:22:29.880Z,,2026-01-19T09:24:54.981Z
37,susds,susds,sUSDS,https://coin-images.coingecko.com/coins/images/52721/large/sUSDS_Coin.png?1734086971,1.083,4285559268,38,4285559268,2939602.0,1.089,1.074,-1.0179222307061e-05,-0.00094,-7109522.632725239,-0.16562,3956877779.057714,3956877779.057714,,1.11,-1.98984,2025-10-10T21:52:27.019Z,0.961716,12.61954,2025-01-04T01:21:08.460Z,,2026-01-19T09:24:52.473Z
38,canton-network,cc,Canton,https://coin-images.coingecko.com/coins/images/70468/large/Canton-Ticker_%281%29.png?1762826299,0.11124,4167183900,39,4167183900,22452802.0,0.122451,0.1104,-0.005017105393567853,-4.31551,-186389188.1517663,-4.28129,37460583397.49065,37460583397.49065,,0.176091,-36.82696,2026-01-01T13:30:26.939Z,0.059024,88.46867,2025-12-06T10:32:09.784Z,,2026-01-19T09:24:45.349Z
39,the-open-network,ton,Toncoin,https://coin-images.coingecko.com/coins/images/17980/large/photo_2024-09-10_17.09.00.jpeg?1725963446,1.62,3934119570,40,8344188774,128651498.0,1.74,1.58,-0.0975730501859624,-5.6842,-235463038.02785826,-5.64716,2428917273.746225,5151684865.780092,,8.25,-80.37819,2024-06-15T00:36:51.509Z,0.519364,211.82517,2021-09-21T00:33:11.092Z,,2026-01-19T09:24:53.032Z
40,ethena-staked-usde,susde,Ethena Staked USDe,https://coin-images.coingecko.com/coins/images/33669/large/sUSDe-Symbol-Color.png?1716307680,1.22,3782408808,41,3782408808,55656000.0,1.22,1.21,0.00016331,0.01344,-1187619.5991683006,-0.03139,3113078407.580046,3113078407.580046,,1.29,-5.86857,2025-01-29T17:52:32.991Z,1.012,20.04313,2024-04-03T14:23:03.162Z,,2026-01-19T09:24:46.763Z
41,crypto-com-chain,cro,Cronos,https://coin-images.coingecko.com/coins/images/7310/large/cro_token_logo.png?1696507599,0.094836,3776468404,42,9331388432,21862201.0,0.102435,0.094742,-0.006666845660461621,-6.56814,-263592876.71241426,-6.52448,39793441902.89623,98326802652.59743,100000000000.0,0.965407,-90.17526,2021-11-24T15:53:54.855Z,0.0121196,682.60595,2019-02-08T00:00:00.000Z,,2026-01-19T09:24:46.018Z
42,paypal-usd,pyusd,PayPal USD,https://coin-images.coingecko.com/coins/images/31212/large/PYUSD_Token_Logo_2x.png?1765987788,0.999914,3724878170,43,3724878170,40921244.0,1.0,0.999504,0.00030056,0.03007,6593675.0,0.17733,3725233297.768306,3725233297.792307,,1.021,-2.03834,2023-10-23T22:44:57.056Z,0.959426,4.22181,2024-12-05T22:31:13.430Z,,2026-01-19T09:24:50.260Z
43,usd1-wlfi,usd1,USD1,https://coin-images.coingecko.com/coins/images/54977/large/USD1_1000x1000_transparent.png?1749297002,0.998753,3409088105,44,3398241550,1427334012.0,0.998919,0.998464,8.937e-05,0.00895,-30264008.3662405,-0.87993,3413332607.348905,3402472547.257057,,1.025,-2.54377,2025-05-12T12:36:39.412Z,0.989633,0.92197,2025-10-01T08:51:32.103Z,,2026-01-19T09:24:53.484Z
44,polkadot,dot,Polkadot,https://coin-images.coingecko.com/coins/images/12171/large/polkadot.jpg?1766533446,1.98,3288672767,45,3288672767,241312423.0,2.19,1.94,-0.1722985834384394,-7.98771,-286010850.0764189,-8.00101,1656731938.819586,1656731938.819586,,54.98,-96.38566,2021-11-04T14:10:09.301Z,1.66,19.94419,2025-12-26T00:55:32.469Z,,2026-01-19T09:24:50.778Z
45,uniswap,uni,Uniswap,https://coin-images.coingecko.com/coins/images/12504/large/uniswap-logo.png?1720676669,4.98,3156867119,46,4475506981,388865965.0,5.39,4.87,-0.34425138317351056,-6.47061,-219785367.9389248,-6.50897,634610361.82848,899690420.0370889,1000000000.0,44.92,-88.92822,2021-05-03T05:25:04.822Z,1.03,382.75766,2020-09-17T01:20:38.214Z,,2026-01-19T09:24:53.376Z
46,rain,rain,Rain,https://coin-images.coingecko.com/coins/images/69134/large/Rain_logo_1_.png?1762952191,0.0090928,3088766319,47,10455412688,38144498.0,0.00938544,0.00886647,-0.000280136191296281,-2.98878,-95168905.16558838,-2.98903,339720918421.2349,1149948566543.304,1150000000000.0,0.01000631,-9.24598,2026-01-15T13:30:49.032Z,0.00222126,308.82783,2025-09-14T08:56:57.416Z,,2026-01-19T09:24:50.880Z
47,mantle,mnt,Mantle,https://coin-images.coingecko.com/coins/images/30980/large/MNT_Token_Logo.png?1765516974,0.928703,3022035876,48,5777842520,167851835.0,0.976355,0.890116,-0.019992106609456717,-2.10733,-64223498.25172043,-2.08095,3252944055.636841,6219316794.89,6219316794.89,2.86,-67.47026,2025-10-09T01:04:46.659Z,0.307978,201.56177,2023-10-18T02:50:46.942Z,,2026-01-19T09:24:49.244Z
48,memecore,m,MemeCore,https://coin-images.coingecko.com/coins/images/53247/large/square-bg-transparent.png?1752637478,1.59,2740783988,49,8457558975,11787267.0,1.59,1.54,0.03663006,2.36171,64255396.0,2.4007,1725934676.840005,5325919291.644465,10000000000.0,2.96,-46.32435,2025-09-18T07:27:06.144Z,0.04746135,3246.17654,2025-07-04T03:56:17.448Z,,2026-01-19T09:24:49.061Z
49,bitget-token,bgb,Bitget Token,https://coin-images.coingecko.com/coins/images/11610/large/Bitget_logo.png?1736925727,3.74,2617760597,50,3440494716,38395210.0,3.81,3.68,-0.03566788149527644,-0.94476,-24927719.969094276,-0.94327,699992035.9787906,919992035.9787906,2000000000.0,8.45,-55.7907,2024-12-27T11:41:24.992Z,0.0142795,26062.18142,2020-06-25T04:17:05.895Z,,2026-01-19T09:24:55.574Z
50,aave,aave,Aave,https://coin-images.coingecko.com/coins/images/12645/large/aave-token-round.png?1720472354,162.87,2473750503,51,2606766165,368424891.0,176.96,161.64,-10.23180028895996,-5.91092,-154503688.43882227,-5.87857,15183566.740133345,16000000.0,16000000.0,661.69,-75.37396,2021-05-18T21:19:59.514Z,26.02,526.16595,2020-11-05T09:20:11.928Z,,2026-01-19T09:24:53.739Z
51,tether-gold,xaut,Tether Gold,https://coin-images.coingecko.com/coins/images/10481/large/Tether_Gold.png?1696510471,4664.96,2426601503,52,2426601503,116806559.0,4677.67,4601.39,61.87,1.34413,32682986.0,1.36525,520089.3,520089.3,,4677.67,-0.27576,2026-01-18T23:35:43.345Z,1447.84,222.18781,2020-03-19T13:45:41.821Z,,2026-01-19T09:24:52.618Z
