date,LTC/USDT
2025-10-01 00:00:00+00:00,115.1
2025-10-02 00:00:00+00:00,119.54
2025-10-03 00:00:00+00:00,120.56
2025-10-04 00:00:00+00:00,120.51
2025-10-05 00:00:00+00:00,118.85
2025-10-06 00:00:00+00:00,118.32
2025-10-07 00:00:00+00:00,116.91
2025-10-08 00:00:00+00:00,118.6
2025-10-09 00:00:00+00:00,125.9
2025-10-10 00:00:00+00:00,96.88
2025-10-11 00:00:00+00:00,93.34
2025-10-12 00:00:00+00:00,98.98
2025-10-13 00:00:00+00:00,99.45
2025-10-14 00:00:00+00:00,97.33
2025-10-15 00:00:00+00:00,95.5
2025-10-16 00:00:00+00:00,91.79
2025-10-17 00:00:00+00:00,90.12
2025-10-18 00:00:00+00:00,91.69
2025-10-19 00:00:00+00:00,93.33
2025-10-20 00:00:00+00:00,94.01
2025-10-21 00:00:00+00:00,92.46
2025-10-22 00:00:00+00:00,91.88
2025-10-23 00:00:00+00:00,94.04
2025-10-24 00:00:00+00:00,96.45
2025-10-25 00:00:00+00:00,96.97
2025-10-26 00:00:00+00:00,100.02
2025-10-27 00:00:00+00:00,99.39
2025-10-28 00:00:00+00:00,96.65
2025-10-29 00:00:00+00:00,98.53
2025-10-30 00:00:00+00:00,93.39
2025-10-31 00:00:00+00:00,95.38
2025-11-01 00:00:00+00:00,101.38
2025-11-02 00:00:00+00:00,99.42
2025-11-03 00:00:00+00:00,87.43
2025-11-04 00:00:00+00:00,85.21
2025-11-05 00:00:00+00:00,89.39
2025-11-06 00:00:00+00:00,87.0
2025-11-07 00:00:00+00:00,101.87
2025-11-08 00:00:00+00:00,106.95
2025-11-09 00:00:00+00:00,110.31
2025-11-10 00:00:00+00:00,104.25
2025-11-11 00:00:00+00:00,99.68
2025-11-12 00:00:00+00:00,97.59
2025-11-13 00:00:00+00:00,96.55
2025-11-14 00:00:00+00:00,97.7
2025-11-15 00:00:00+00:00,101.71
2025-11-16 00:00:00+00:00,95.79
2025-11-17 00:00:00+00:00,91.24
2025-11-18 00:00:00+00:00,95.66
2025-11-19 00:00:00+00:00,92.9
2025-11-20 00:00:00+00:00,87.24
2025-11-21 00:00:00+00:00,82.64
2025-11-22 00:00:00+00:00,82.12
2025-11-23 00:00:00+00:00,83.09
2025-11-24 00:00:00+00:00,85.46
2025-11-25 00:00:00+00:00,85.3
2025-11-26 00:00:00+00:00,86.87
2025-11-27 00:00:00+00:00,86.59
2025-11-28 00:00:00+00:00,84.22
2025-11-29 00:00:00+00:00,83.95
2025-11-30 00:00:00+00:00,82.38
2025-12-01 00:00:00+00:00,77.55
2025-12-02 00:00:00+00:00,82.79
2025-12-03 00:00:00+00:00,85.83
2025-12-04 00:00:00+00:00,83.54
2025-12-05 00:00:00+00:00,80.38
2025-12-06 00:00:00+00:00,81.68
2025-12-07 00:00:00+00:00,81.43
2025-12-08 00:00:00+00:00,83.87
2025-12-09 00:00:00+00:00,85.82
2025-12-10 00:00:00+00:00,84.3
2025-12-11 00:00:00+00:00,82.93
2025-12-12 00:00:00+00:00,81.95
2025-12-13 00:00:00+00:00,81.47
2025-12-14 00:00:00+00:00,78.96
2025-12-15 00:00:00+00:00,77.51
2025-12-16 00:00:00+00:00,79.08
2025-12-17 00:00:00+00:00,76.01
2025-12-18 00:00:00+00:00,74.29
2025-12-19 00:00:00+00:00,77.49
2025-12-20 00:00:00+00:00,77.84
2025-12-21 00:00:00+00:00,76.79
2025-12-22 00:00:00+00:00,77.05
2025-12-23 00:00:00+00:00,77.01
2025-12-24 00:00:00+00:00,75.79
2025-12-25 00:00:00+00:00,75.71
2025-12-26 00:00:00+00:00,76.87
2025-12-27 00:00:00+00:00,80.33
2025-12-28 00:00:00+00:00,78.73
2025-12-29 00:00:00+00:00,78.32
2025-12-30 00:00:00+00:00,78.89
2025-12-31 00:00:00+00:00,76.85
2026-01-01 00:00:00+00:00,79.97
2026-01-02 00:00:00+00:00,81.93
2026-01-03 00:00:00+00:00,82.08
2026-01-04 00:00:00+00:00,82.26
2026-01-05 00:00:00+00:00,83.46
2026-01-06 00:00:00+00:00,83.96
2026-01-07 00:00:00+00:00,81.71
2026-01-08 00:00:00+00:00,81.31
2026-01-09 00:00:00+00:00,81.49
2026-01-10 00:00:00+00:00,81.19
2026-01-11 00:00:00+00:00,78.79
2026-01-12 00:00:00+00:00,76.12
2026-01-13 00:00:00+00:00,78.18
2026-01-14 00:00:00+00:00,76.67
2026-01-15 00:00:00+00:00,72.21
2026-01-16 00:00:00+00:00,75.22
2026-01-17 00:00:00+00:00,74.92
2026-01-18 00:00:00+00:00,72.29
2026-01-19 00:00:00+00:00,70.8
2026-01-20 00:00:00+00:00,70.96
