date,ETHFI/USDT
2025-07-09 00:00:00+00:00,1.081
2025-07-10 00:00:00+00:00,1.18
2025-07-11 00:00:00+00:00,1.135
2025-07-12 00:00:00+00:00,1.118
2025-07-13 00:00:00+00:00,1.149
2025-07-14 00:00:00+00:00,1.126
2025-07-15 00:00:00+00:00,1.234
2025-07-16 00:00:00+00:00,1.307
2025-07-17 00:00:00+00:00,1.321
2025-07-18 00:00:00+00:00,1.263
2025-07-19 00:00:00+00:00,1.286
2025-07-20 00:00:00+00:00,1.323
2025-07-21 00:00:00+00:00,1.347
2025-07-22 00:00:00+00:00,1.296
2025-07-23 00:00:00+00:00,1.148
2025-07-24 00:00:00+00:00,1.118
2025-07-25 00:00:00+00:00,1.169
2025-07-26 00:00:00+00:00,1.221
2025-07-27 00:00:00+00:00,1.277
2025-07-28 00:00:00+00:00,1.162
2025-07-29 00:00:00+00:00,1.207
2025-07-30 00:00:00+00:00,1.16
2025-07-31 00:00:00+00:00,1.063
2025-08-01 00:00:00+00:00,0.945
2025-08-02 00:00:00+00:00,0.929
2025-08-03 00:00:00+00:00,1.001
2025-08-04 00:00:00+00:00,1.044
2025-08-05 00:00:00+00:00,0.986
2025-08-06 00:00:00+00:00,1.032
2025-08-07 00:00:00+00:00,1.1
2025-08-08 00:00:00+00:00,1.142
2025-08-09 00:00:00+00:00,1.228
2025-08-10 00:00:00+00:00,1.234
2025-08-11 00:00:00+00:00,1.193
2025-08-12 00:00:00+00:00,1.227
2025-08-13 00:00:00+00:00,1.376
2025-08-14 00:00:00+00:00,1.181
2025-08-15 00:00:00+00:00,1.149
2025-08-16 00:00:00+00:00,1.175
2025-08-17 00:00:00+00:00,1.212
2025-08-18 00:00:00+00:00,1.119
2025-08-19 00:00:00+00:00,1.048
2025-08-20 00:00:00+00:00,1.109
2025-08-21 00:00:00+00:00,1.076
2025-08-22 00:00:00+00:00,1.284
2025-08-23 00:00:00+00:00,1.279
2025-08-24 00:00:00+00:00,1.277
2025-08-25 00:00:00+00:00,1.097
2025-08-26 00:00:00+00:00,1.093
2025-08-27 00:00:00+00:00,1.071
2025-08-28 00:00:00+00:00,1.136
2025-08-29 00:00:00+00:00,1.078
2025-08-30 00:00:00+00:00,1.082
2025-08-31 00:00:00+00:00,1.068
2025-09-01 00:00:00+00:00,1.028
2025-09-02 00:00:00+00:00,1.111
2025-09-03 00:00:00+00:00,1.147
2025-09-04 00:00:00+00:00,1.106
2025-09-05 00:00:00+00:00,1.161
2025-09-06 00:00:00+00:00,1.156
2025-09-07 00:00:00+00:00,1.172
2025-09-08 00:00:00+00:00,1.192
2025-09-09 00:00:00+00:00,1.255
2025-09-10 00:00:00+00:00,1.308
2025-09-11 00:00:00+00:00,1.471
2025-09-12 00:00:00+00:00,1.445
2025-09-13 00:00:00+00:00,1.569
2025-09-14 00:00:00+00:00,1.469
2025-09-15 00:00:00+00:00,1.443
2025-09-16 00:00:00+00:00,1.515
2025-09-17 00:00:00+00:00,1.603
2025-09-18 00:00:00+00:00,1.606
2025-09-19 00:00:00+00:00,1.489
2025-09-20 00:00:00+00:00,1.499
2025-09-21 00:00:00+00:00,1.462
2025-09-22 00:00:00+00:00,1.451
2025-09-23 00:00:00+00:00,1.463
2025-09-24 00:00:00+00:00,1.658
2025-09-25 00:00:00+00:00,1.492
2025-09-26 00:00:00+00:00,1.585
2025-09-27 00:00:00+00:00,1.626
2025-09-28 00:00:00+00:00,1.602
2025-09-29 00:00:00+00:00,1.499
2025-09-30 00:00:00+00:00,1.427
2025-10-01 00:00:00+00:00,1.431
2025-10-02 00:00:00+00:00,1.752
2025-10-03 00:00:00+00:00,1.806
2025-10-04 00:00:00+00:00,1.826
2025-10-05 00:00:00+00:00,1.811
2025-10-06 00:00:00+00:00,1.82
2025-10-07 00:00:00+00:00,1.786
2025-10-08 00:00:00+00:00,1.695
2025-10-09 00:00:00+00:00,1.622
2025-10-10 00:00:00+00:00,1.18
2025-10-11 00:00:00+00:00,1.112
2025-10-12 00:00:00+00:00,1.246
2025-10-13 00:00:00+00:00,1.288
2025-10-14 00:00:00+00:00,1.24
2025-10-15 00:00:00+00:00,1.16
2025-10-16 00:00:00+00:00,1.108
2025-10-17 00:00:00+00:00,1.074
2025-10-18 00:00:00+00:00,1.071
2025-10-19 00:00:00+00:00,1.075
2025-10-20 00:00:00+00:00,1.069
2025-10-21 00:00:00+00:00,1.006
2025-10-22 00:00:00+00:00,0.961
2025-10-23 00:00:00+00:00,0.97
2025-10-24 00:00:00+00:00,1.019
2025-10-25 00:00:00+00:00,1.027
2025-10-26 00:00:00+00:00,1.042
2025-10-27 00:00:00+00:00,0.971
2025-10-28 00:00:00+00:00,0.948
2025-10-29 00:00:00+00:00,0.974
2025-10-30 00:00:00+00:00,0.912
2025-10-31 00:00:00+00:00,0.97
2025-11-01 00:00:00+00:00,1.003
2025-11-02 00:00:00+00:00,0.997
2025-11-03 00:00:00+00:00,0.859
2025-11-04 00:00:00+00:00,0.826
2025-11-05 00:00:00+00:00,0.868
2025-11-06 00:00:00+00:00,0.861
2025-11-07 00:00:00+00:00,0.983
2025-11-08 00:00:00+00:00,0.96
2025-11-09 00:00:00+00:00,0.995
2025-11-10 00:00:00+00:00,1.016
2025-11-11 00:00:00+00:00,0.95
2025-11-12 00:00:00+00:00,0.933
2025-11-13 00:00:00+00:00,0.973
2025-11-14 00:00:00+00:00,0.9
2025-11-15 00:00:00+00:00,0.929
2025-11-16 00:00:00+00:00,0.891
2025-11-17 00:00:00+00:00,0.842
2025-11-18 00:00:00+00:00,0.921
2025-11-19 00:00:00+00:00,0.908
2025-11-20 00:00:00+00:00,0.814
2025-11-21 00:00:00+00:00,0.724
2025-11-22 00:00:00+00:00,0.677
2025-11-23 00:00:00+00:00,0.677
2025-11-24 00:00:00+00:00,0.766
2025-11-25 00:00:00+00:00,0.76
2025-11-26 00:00:00+00:00,0.772
2025-11-27 00:00:00+00:00,0.803
2025-11-28 00:00:00+00:00,0.822
2025-11-29 00:00:00+00:00,0.81
2025-11-30 00:00:00+00:00,0.806
2025-12-01 00:00:00+00:00,0.744
2025-12-02 00:00:00+00:00,0.842
2025-12-03 00:00:00+00:00,0.851
2025-12-04 00:00:00+00:00,0.821
2025-12-05 00:00:00+00:00,0.777
2025-12-06 00:00:00+00:00,0.801
2025-12-07 00:00:00+00:00,0.785
2025-12-08 00:00:00+00:00,0.835
2025-12-09 00:00:00+00:00,0.877
2025-12-10 00:00:00+00:00,0.84
2025-12-11 00:00:00+00:00,0.821
2025-12-12 00:00:00+00:00,0.802
2025-12-13 00:00:00+00:00,0.807
2025-12-14 00:00:00+00:00,0.787
2025-12-15 00:00:00+00:00,0.783
2025-12-16 00:00:00+00:00,0.782
2025-12-17 00:00:00+00:00,0.721
2025-12-18 00:00:00+00:00,0.681
2025-12-19 00:00:00+00:00,0.749
2025-12-20 00:00:00+00:00,0.751
2025-12-21 00:00:00+00:00,0.718
2025-12-22 00:00:00+00:00,0.723
2025-12-23 00:00:00+00:00,0.709
2025-12-24 00:00:00+00:00,0.701
2025-12-25 00:00:00+00:00,0.664
2025-12-26 00:00:00+00:00,0.699
2025-12-27 00:00:00+00:00,0.715
2025-12-28 00:00:00+00:00,0.711
2025-12-29 00:00:00+00:00,0.69
2025-12-30 00:00:00+00:00,0.701
2025-12-31 00:00:00+00:00,0.688
2026-01-01 00:00:00+00:00,0.739
2026-01-02 00:00:00+00:00,0.772
2026-01-03 00:00:00+00:00,0.768
2026-01-04 00:00:00+00:00,0.776
2026-01-05 00:00:00+00:00,0.798
2026-01-06 00:00:00+00:00,0.807
2026-01-07 00:00:00+00:00,0.759
2026-01-08 00:00:00+00:00,0.742
2026-01-09 00:00:00+00:00,0.742
2026-01-10 00:00:00+00:00,0.733
2026-01-11 00:00:00+00:00,0.741
2026-01-12 00:00:00+00:00,0.722
2026-01-13 00:00:00+00:00,0.8
2026-01-14 00:00:00+00:00,0.779
2026-01-15 00:00:00+00:00,0.743
2026-01-16 00:00:00+00:00,0.745
2026-01-17 00:00:00+00:00,0.74
2026-01-18 00:00:00+00:00,0.694
2026-01-19 00:00:00+00:00,0.649
2026-01-20 00:00:00+00:00,0.643
