date,XLM/USDT
2025-09-07 00:00:00+00:00,0.3616
2025-09-08 00:00:00+00:00,0.3776
2025-09-09 00:00:00+00:00,0.3723
2025-09-10 00:00:00+00:00,0.3833
2025-09-11 00:00:00+00:00,0.3961
2025-09-12 00:00:00+00:00,0.4046
2025-09-13 00:00:00+00:00,0.405
2025-09-14 00:00:00+00:00,0.3896
2025-09-15 00:00:00+00:00,0.3805
2025-09-16 00:00:00+00:00,0.3839
2025-09-17 00:00:00+00:00,0.3954
2025-09-18 00:00:00+00:00,0.3963
2025-09-19 00:00:00+00:00,0.388
2025-09-20 00:00:00+00:00,0.3861
2025-09-21 00:00:00+00:00,0.3797
2025-09-22 00:00:00+00:00,0.3683
2025-09-23 00:00:00+00:00,0.3645
2025-09-24 00:00:00+00:00,0.3746
2025-09-25 00:00:00+00:00,0.3505
2025-09-26 00:00:00+00:00,0.3619
2025-09-27 00:00:00+00:00,0.3608
2025-09-28 00:00:00+00:00,0.3676
2025-09-29 00:00:00+00:00,0.3718
2025-09-30 00:00:00+00:00,0.364
2025-10-01 00:00:00+00:00,0.3982
2025-10-02 00:00:00+00:00,0.4087
2025-10-03 00:00:00+00:00,0.4062
2025-10-04 00:00:00+00:00,0.3938
2025-10-05 00:00:00+00:00,0.3962
2025-10-06 00:00:00+00:00,0.4085
2025-10-07 00:00:00+00:00,0.3836
2025-10-08 00:00:00+00:00,0.3884
2025-10-09 00:00:00+00:00,0.3794
2025-10-10 00:00:00+00:00,0.3191
2025-10-11 00:00:00+00:00,0.323
2025-10-12 00:00:00+00:00,0.3415
2025-10-13 00:00:00+00:00,0.3511
2025-10-14 00:00:00+00:00,0.3373
2025-10-15 00:00:00+00:00,0.3247
2025-10-16 00:00:00+00:00,0.3122
2025-10-17 00:00:00+00:00,0.3086
2025-10-18 00:00:00+00:00,0.3146
2025-10-19 00:00:00+00:00,0.3179
2025-10-20 00:00:00+00:00,0.3244
2025-10-21 00:00:00+00:00,0.3141
2025-10-22 00:00:00+00:00,0.3081
2025-10-23 00:00:00+00:00,0.3115
2025-10-24 00:00:00+00:00,0.3195
2025-10-25 00:00:00+00:00,0.3249
2025-10-26 00:00:00+00:00,0.3304
2025-10-27 00:00:00+00:00,0.3228
2025-10-28 00:00:00+00:00,0.3184
2025-10-29 00:00:00+00:00,0.3158
2025-10-30 00:00:00+00:00,0.2984
2025-10-31 00:00:00+00:00,0.305
2025-11-01 00:00:00+00:00,0.3051
2025-11-02 00:00:00+00:00,0.3047
2025-11-03 00:00:00+00:00,0.2782
