date,ONDO/USDT
2025-09-03 00:00:00+00:00,0.9411
2025-09-04 00:00:00+00:00,0.9098
2025-09-05 00:00:00+00:00,0.911
2025-09-06 00:00:00+00:00,0.9015
2025-09-07 00:00:00+00:00,0.9106
2025-09-08 00:00:00+00:00,0.9326
2025-09-09 00:00:00+00:00,0.9536
2025-09-10 00:00:00+00:00,1.0238
2025-09-11 00:00:00+00:00,1.0807
2025-09-12 00:00:00+00:00,1.101
2025-09-13 00:00:00+00:00,1.0913
2025-09-14 00:00:00+00:00,1.0493
2025-09-15 00:00:00+00:00,1.0368
2025-09-16 00:00:00+00:00,1.0209
2025-09-17 00:00:00+00:00,1.0664
2025-09-18 00:00:00+00:00,1.0776
2025-09-19 00:00:00+00:00,1.0223
2025-09-20 00:00:00+00:00,1.0148
2025-09-21 00:00:00+00:00,0.9896
2025-09-22 00:00:00+00:00,0.9407
2025-09-23 00:00:00+00:00,0.9177
2025-09-24 00:00:00+00:00,0.9243
2025-09-25 00:00:00+00:00,0.8726
2025-09-26 00:00:00+00:00,0.8966
2025-09-27 00:00:00+00:00,0.8844
2025-09-28 00:00:00+00:00,0.9061
2025-09-29 00:00:00+00:00,0.8933
2025-09-30 00:00:00+00:00,0.884
2025-10-01 00:00:00+00:00,0.9363
2025-10-02 00:00:00+00:00,0.9571
2025-10-03 00:00:00+00:00,0.9427
2025-10-04 00:00:00+00:00,0.9225
2025-10-05 00:00:00+00:00,0.917
2025-10-06 00:00:00+00:00,0.962
2025-10-07 00:00:00+00:00,0.9086
2025-10-08 00:00:00+00:00,0.9231
2025-10-09 00:00:00+00:00,0.8839
2025-10-10 00:00:00+00:00,0.6908
2025-10-11 00:00:00+00:00,0.7175
2025-10-12 00:00:00+00:00,0.8153
2025-10-13 00:00:00+00:00,0.8335
2025-10-14 00:00:00+00:00,0.8003
2025-10-15 00:00:00+00:00,0.7635
2025-10-16 00:00:00+00:00,0.7276
2025-10-17 00:00:00+00:00,0.7044
2025-10-18 00:00:00+00:00,0.7137
2025-10-19 00:00:00+00:00,0.7316
2025-10-20 00:00:00+00:00,0.7519
2025-10-21 00:00:00+00:00,0.7239
2025-10-22 00:00:00+00:00,0.7029
2025-10-23 00:00:00+00:00,0.7221
2025-10-24 00:00:00+00:00,0.7443
2025-10-25 00:00:00+00:00,0.7342
2025-10-26 00:00:00+00:00,0.7667
2025-10-27 00:00:00+00:00,0.7461
2025-10-28 00:00:00+00:00,0.7291
2025-10-29 00:00:00+00:00,0.7287
2025-10-30 00:00:00+00:00,0.6888
2025-10-31 00:00:00+00:00,0.6873
2025-11-01 00:00:00+00:00,0.703
2025-11-02 00:00:00+00:00,0.6978
2025-11-03 00:00:00+00:00,0.615
2025-11-04 00:00:00+00:00,0.5933
2025-11-05 00:00:00+00:00,0.6165
2025-11-06 00:00:00+00:00,0.5954
2025-11-07 00:00:00+00:00,0.6672
2025-11-08 00:00:00+00:00,0.6601
2025-11-09 00:00:00+00:00,0.6715
2025-11-10 00:00:00+00:00,0.6932
2025-11-11 00:00:00+00:00,0.6491
2025-11-12 00:00:00+00:00,0.6374
2025-11-13 00:00:00+00:00,0.6137
2025-11-14 00:00:00+00:00,0.5752
2025-11-15 00:00:00+00:00,0.5829
2025-11-16 00:00:00+00:00,0.5577
2025-11-17 00:00:00+00:00,0.5315
2025-11-18 00:00:00+00:00,0.5462
2025-11-19 00:00:00+00:00,0.5295
2025-11-20 00:00:00+00:00,0.5006
2025-11-21 00:00:00+00:00,0.4666
2025-11-22 00:00:00+00:00,0.4627
2025-11-23 00:00:00+00:00,0.4753
2025-11-24 00:00:00+00:00,0.4998
2025-11-25 00:00:00+00:00,0.5056
2025-11-26 00:00:00+00:00,0.517
2025-11-27 00:00:00+00:00,0.5218
2025-11-28 00:00:00+00:00,0.5156
2025-11-29 00:00:00+00:00,0.5095
2025-11-30 00:00:00+00:00,0.5039
2025-12-01 00:00:00+00:00,0.4628
2025-12-02 00:00:00+00:00,0.5015
2025-12-03 00:00:00+00:00,0.513
2025-12-04 00:00:00+00:00,0.4912
2025-12-05 00:00:00+00:00,0.4636
2025-12-06 00:00:00+00:00,0.4679
2025-12-07 00:00:00+00:00,0.4558
2025-12-08 00:00:00+00:00,0.4847
2025-12-09 00:00:00+00:00,0.4992
2025-12-10 00:00:00+00:00,0.4897
2025-12-11 00:00:00+00:00,0.4737
2025-12-12 00:00:00+00:00,0.4586
2025-12-13 00:00:00+00:00,0.4632
2025-12-14 00:00:00+00:00,0.4416
2025-12-15 00:00:00+00:00,0.4167
2025-12-16 00:00:00+00:00,0.4151
2025-12-17 00:00:00+00:00,0.3905
2025-12-18 00:00:00+00:00,0.3685
2025-12-19 00:00:00+00:00,0.3978
2025-12-20 00:00:00+00:00,0.399
2025-12-21 00:00:00+00:00,0.3906
2025-12-22 00:00:00+00:00,0.3937
2025-12-23 00:00:00+00:00,0.3866
2025-12-24 00:00:00+00:00,0.3762
2025-12-25 00:00:00+00:00,0.3682
2025-12-26 00:00:00+00:00,0.3756
2025-12-27 00:00:00+00:00,0.3878
2025-12-28 00:00:00+00:00,0.3877
2025-12-29 00:00:00+00:00,0.3769
2025-12-30 00:00:00+00:00,0.3746
2025-12-31 00:00:00+00:00,0.3591
2026-01-01 00:00:00+00:00,0.3872
2026-01-02 00:00:00+00:00,0.4238
2026-01-03 00:00:00+00:00,0.4278
2026-01-04 00:00:00+00:00,0.4388
2026-01-05 00:00:00+00:00,0.455
2026-01-06 00:00:00+00:00,0.4574
2026-01-07 00:00:00+00:00,0.4226
2026-01-08 00:00:00+00:00,0.4076
2026-01-09 00:00:00+00:00,0.4025
2026-01-10 00:00:00+00:00,0.3994
2026-01-11 00:00:00+00:00,0.3994
2026-01-12 00:00:00+00:00,0.387
2026-01-13 00:00:00+00:00,0.4159
2026-01-14 00:00:00+00:00,0.4011
2026-01-15 00:00:00+00:00,0.3802
2026-01-16 00:00:00+00:00,0.3836
2026-01-17 00:00:00+00:00,0.3852
2026-01-18 00:00:00+00:00,0.3551
2026-01-19 00:00:00+00:00,0.3487
2026-01-20 00:00:00+00:00,0.3476
