date,QNT/USDT
2025-09-25 00:00:00+00:00,86.72
2025-09-26 00:00:00+00:00,95.57
2025-09-27 00:00:00+00:00,100.01
2025-09-28 00:00:00+00:00,100.27
2025-09-29 00:00:00+00:00,103.42
2025-09-30 00:00:00+00:00,100.97
2025-10-01 00:00:00+00:00,104.4
2025-10-02 00:00:00+00:00,106.63
2025-10-03 00:00:00+00:00,105.78
2025-10-04 00:00:00+00:00,102.78
2025-10-05 00:00:00+00:00,102.08
2025-10-06 00:00:00+00:00,105.29
2025-10-07 00:00:00+00:00,100.67
2025-10-08 00:00:00+00:00,102.31
2025-10-09 00:00:00+00:00,100.95
2025-10-10 00:00:00+00:00,84.72
2025-10-11 00:00:00+00:00,87.85
2025-10-12 00:00:00+00:00,91.29
2025-10-13 00:00:00+00:00,91.88
2025-10-14 00:00:00+00:00,89.86
2025-10-15 00:00:00+00:00,86.99
2025-10-16 00:00:00+00:00,83.63
2025-10-17 00:00:00+00:00,81.83
2025-10-18 00:00:00+00:00,84.61
2025-10-19 00:00:00+00:00,84.3
2025-10-20 00:00:00+00:00,84.87
2025-10-21 00:00:00+00:00,81.8
2025-10-22 00:00:00+00:00,80.88
2025-10-23 00:00:00+00:00,82.93
2025-10-24 00:00:00+00:00,82.07
2025-10-25 00:00:00+00:00,81.93
2025-10-26 00:00:00+00:00,84.06
2025-10-27 00:00:00+00:00,81.35
2025-10-28 00:00:00+00:00,80.7
2025-10-29 00:00:00+00:00,81.2
2025-10-30 00:00:00+00:00,78.61
2025-10-31 00:00:00+00:00,79.94
2025-11-01 00:00:00+00:00,80.05
2025-11-02 00:00:00+00:00,79.88
2025-11-03 00:00:00+00:00,73.96
2025-11-04 00:00:00+00:00,72.73
2025-11-05 00:00:00+00:00,86.11
2025-11-06 00:00:00+00:00,81.5
2025-11-07 00:00:00+00:00,87.77
2025-11-08 00:00:00+00:00,84.48
2025-11-09 00:00:00+00:00,83.6
2025-11-10 00:00:00+00:00,84.32
2025-11-11 00:00:00+00:00,82.5
2025-11-12 00:00:00+00:00,81.9
