date,STRK/USDT
2025-08-28 00:00:00+00:00,0.1337
2025-08-29 00:00:00+00:00,0.1268
2025-08-30 00:00:00+00:00,0.1278
2025-08-31 00:00:00+00:00,0.1256
2025-09-01 00:00:00+00:00,0.1213
2025-09-02 00:00:00+00:00,0.1236
2025-09-03 00:00:00+00:00,0.1241
2025-09-04 00:00:00+00:00,0.1199
2025-09-05 00:00:00+00:00,0.1242
2025-09-06 00:00:00+00:00,0.1216
2025-09-07 00:00:00+00:00,0.1241
2025-09-08 00:00:00+00:00,0.128
2025-09-09 00:00:00+00:00,0.1308
2025-09-10 00:00:00+00:00,0.1332
2025-09-11 00:00:00+00:00,0.1353
2025-09-12 00:00:00+00:00,0.1363
2025-09-13 00:00:00+00:00,0.1379
2025-09-14 00:00:00+00:00,0.1316
2025-09-15 00:00:00+00:00,0.1315
2025-09-16 00:00:00+00:00,0.1352
2025-09-17 00:00:00+00:00,0.1378
2025-09-18 00:00:00+00:00,0.1371
2025-09-19 00:00:00+00:00,0.1278
2025-09-20 00:00:00+00:00,0.1298
2025-09-21 00:00:00+00:00,0.1287
2025-09-22 00:00:00+00:00,0.1189
2025-09-23 00:00:00+00:00,0.1177
2025-09-24 00:00:00+00:00,0.1233
2025-09-25 00:00:00+00:00,0.1142
2025-09-26 00:00:00+00:00,0.1189
2025-09-27 00:00:00+00:00,0.1212
2025-09-28 00:00:00+00:00,0.1233
2025-09-29 00:00:00+00:00,0.1249
2025-09-30 00:00:00+00:00,0.1398
2025-10-01 00:00:00+00:00,0.1589
2025-10-02 00:00:00+00:00,0.1491
2025-10-03 00:00:00+00:00,0.1533
2025-10-04 00:00:00+00:00,0.1472
2025-10-05 00:00:00+00:00,0.1503
2025-10-06 00:00:00+00:00,0.1809
2025-10-07 00:00:00+00:00,0.1709
2025-10-08 00:00:00+00:00,0.1633
2025-10-09 00:00:00+00:00,0.157
2025-10-10 00:00:00+00:00,0.1114
2025-10-11 00:00:00+00:00,0.1155
2025-10-12 00:00:00+00:00,0.1301
2025-10-13 00:00:00+00:00,0.1324
2025-10-14 00:00:00+00:00,0.1277
2025-10-15 00:00:00+00:00,0.1187
2025-10-16 00:00:00+00:00,0.1161
2025-10-17 00:00:00+00:00,0.1101
2025-10-18 00:00:00+00:00,0.1104
2025-10-19 00:00:00+00:00,0.1143
2025-10-20 00:00:00+00:00,0.1291
2025-10-21 00:00:00+00:00,0.1198
2025-10-22 00:00:00+00:00,0.1156
2025-10-23 00:00:00+00:00,0.1206
2025-10-24 00:00:00+00:00,0.1216
2025-10-25 00:00:00+00:00,0.1197
2025-10-26 00:00:00+00:00,0.1258
2025-10-27 00:00:00+00:00,0.1215
2025-10-28 00:00:00+00:00,0.1187
2025-10-29 00:00:00+00:00,0.1175
2025-10-30 00:00:00+00:00,0.1087
2025-10-31 00:00:00+00:00,0.103
2025-11-01 00:00:00+00:00,0.1159
2025-11-02 00:00:00+00:00,0.119
2025-11-03 00:00:00+00:00,0.1052
2025-11-04 00:00:00+00:00,0.1035
2025-11-05 00:00:00+00:00,0.1077
2025-11-06 00:00:00+00:00,0.104
2025-11-07 00:00:00+00:00,0.1439
2025-11-08 00:00:00+00:00,0.1347
2025-11-09 00:00:00+00:00,0.1481
2025-11-10 00:00:00+00:00,0.1661
2025-11-11 00:00:00+00:00,0.145
2025-11-12 00:00:00+00:00,0.137
2025-11-13 00:00:00+00:00,0.1479
2025-11-14 00:00:00+00:00,0.1702
2025-11-15 00:00:00+00:00,0.2034
2025-11-16 00:00:00+00:00,0.2174
2025-11-17 00:00:00+00:00,0.1947
2025-11-18 00:00:00+00:00,0.2047
2025-11-19 00:00:00+00:00,0.249
2025-11-20 00:00:00+00:00,0.2232
2025-11-21 00:00:00+00:00,0.2058
2025-11-22 00:00:00+00:00,0.1448
2025-11-23 00:00:00+00:00,0.1511
2025-11-24 00:00:00+00:00,0.1419
2025-11-25 00:00:00+00:00,0.1429
2025-11-26 00:00:00+00:00,0.1519
2025-11-27 00:00:00+00:00,0.1411
2025-11-28 00:00:00+00:00,0.1418
2025-11-29 00:00:00+00:00,0.1346
2025-11-30 00:00:00+00:00,0.1239
2025-12-01 00:00:00+00:00,0.1185
2025-12-02 00:00:00+00:00,0.1222
2025-12-03 00:00:00+00:00,0.1253
2025-12-04 00:00:00+00:00,0.1194
2025-12-05 00:00:00+00:00,0.1109
2025-12-06 00:00:00+00:00,0.1123
2025-12-07 00:00:00+00:00,0.1113
2025-12-08 00:00:00+00:00,0.1101
2025-12-09 00:00:00+00:00,0.1158
2025-12-10 00:00:00+00:00,0.1088
2025-12-11 00:00:00+00:00,0.107
2025-12-12 00:00:00+00:00,0.1058
