,symbol,base,quote,quoteVolume,last,timestamp
38,APT/USDT,APT,USDT,15245494.32598,1.607,2026-01-20T00:49:02.592138+00:00
39,CHZ/USDT,CHZ,USDT,14039997.64258,0.05637,2026-01-20T00:49:02.590722+00:00
40,DOT/USDT,DOT,USDT,13834503.78739,2.02,2026-01-20T00:49:02.591115+00:00
41,EUR/USDT,EUR,USDT,13781981.77604,1.1641,2026-01-20T00:49:02.590817+00:00
42,GIGGLE/USDT,GIGGLE,USDT,12941079.90189,55.77,2026-01-20T00:49:02.593073+00:00
43,HBAR/USDT,HBAR,USDT,12787535.63602,0.11084,2026-01-20T00:49:02.590757+00:00
44,WLD/USDT,WLD,USDT,12504742.30663,0.5023,2026-01-20T00:49:02.592313+00:00
45,FET/USDT,FET,USDT,12337199.79434,0.2477,2026-01-20T00:49:02.590532+00:00
46,ACH/USDT,ACH,USDT,11728086.58961,0.01186,2026-01-20T00:49:02.591967+00:00
47,PENGU/USDT,PENGU,USDT,11471043.186049,0.010335,2026-01-20T00:49:02.592683+00:00
48,XUSD/USDT,XUSD,USDT,11419328.2186,1.0007,2026-01-20T00:49:02.592777+00:00
49,EIGEN/USDT,EIGEN,USDT,11079345.46567,0.341,2026-01-20T00:49:02.592606+00:00
50,TON/USDT,TON,USDT,11033996.55285,1.581,2026-01-20T00:49:02.592561+00:00
51,XPL/USDT,XPL,USDT,10812860.93947,0.133,2026-01-20T00:49:02.593014+00:00
52,WIF/USDT,WIF,USDT,10752092.86752,0.352,2026-01-20T00:49:02.592467+00:00
53,SCRT/USDT,SCRT,USDT,10526129.57774,0.1571,2026-01-20T00:49:02.591985+00:00
54,BONK/USDT,BONK,USDT,10351909.357942,9.29e-06,2026-01-20T00:49:02.592397+00:00
55,XLM/USDT,XLM,USDT,10290329.8492,0.2153,2026-01-20T00:49:02.590302+00:00
56,XVG/USDT,XVG,USDT,10163248.573367,0.007151,2026-01-20T00:49:02.591602+00:00
57,POL/USDT,POL,USDT,9594054.73106,0.1363,2026-01-20T00:49:02.592578+00:00
58,AAVE/USDT,AAVE,USDT,9248206.05315,163.87,2026-01-20T00:49:02.591263+00:00
59,ONDO/USDT,ONDO,USDT,9233288.80596,0.3478,2026-01-20T00:49:02.592814+00:00
