date,FIL/USDT
2025-11-01 00:00:00+00:00,1.672
2025-11-02 00:00:00+00:00,1.666
2025-11-03 00:00:00+00:00,1.443
2025-11-04 00:00:00+00:00,1.367
2025-11-05 00:00:00+00:00,1.397
2025-11-06 00:00:00+00:00,1.893
2025-11-07 00:00:00+00:00,3.392
2025-11-08 00:00:00+00:00,2.958
2025-11-09 00:00:00+00:00,2.782
2025-11-10 00:00:00+00:00,2.555
2025-11-11 00:00:00+00:00,2.228
2025-11-12 00:00:00+00:00,2.197
2025-11-13 00:00:00+00:00,2.068
2025-11-14 00:00:00+00:00,1.997
2025-11-15 00:00:00+00:00,2.035
2025-11-16 00:00:00+00:00,1.96
2025-11-17 00:00:00+00:00,2.02
2025-11-18 00:00:00+00:00,1.986
2025-11-19 00:00:00+00:00,1.88
2025-11-20 00:00:00+00:00,1.82
2025-11-21 00:00:00+00:00,1.66
2025-11-22 00:00:00+00:00,1.615
2025-11-23 00:00:00+00:00,1.611
2025-11-24 00:00:00+00:00,1.642
2025-11-25 00:00:00+00:00,1.672
2025-11-26 00:00:00+00:00,1.676
2025-11-27 00:00:00+00:00,1.618
2025-11-28 00:00:00+00:00,1.618
2025-11-29 00:00:00+00:00,1.605
2025-11-30 00:00:00+00:00,1.571
2025-12-01 00:00:00+00:00,1.481
2025-12-02 00:00:00+00:00,1.531
2025-12-03 00:00:00+00:00,1.596
2025-12-04 00:00:00+00:00,1.545
2025-12-05 00:00:00+00:00,1.487
2025-12-06 00:00:00+00:00,1.492
2025-12-07 00:00:00+00:00,1.455
2025-12-08 00:00:00+00:00,1.504
2025-12-09 00:00:00+00:00,1.545
2025-12-10 00:00:00+00:00,1.468
2025-12-11 00:00:00+00:00,1.379
2025-12-12 00:00:00+00:00,1.345
2025-12-13 00:00:00+00:00,1.35
2025-12-14 00:00:00+00:00,1.315
2025-12-15 00:00:00+00:00,1.264
2025-12-16 00:00:00+00:00,1.289
2025-12-17 00:00:00+00:00,1.225
2025-12-18 00:00:00+00:00,1.188
2025-12-19 00:00:00+00:00,1.308
2025-12-20 00:00:00+00:00,1.374
2025-12-21 00:00:00+00:00,1.278
2025-12-22 00:00:00+00:00,1.299
2025-12-23 00:00:00+00:00,1.31
2025-12-24 00:00:00+00:00,1.271
2025-12-25 00:00:00+00:00,1.215
2025-12-26 00:00:00+00:00,1.227
2025-12-27 00:00:00+00:00,1.316
2025-12-28 00:00:00+00:00,1.335
2025-12-29 00:00:00+00:00,1.318
2025-12-30 00:00:00+00:00,1.322
2025-12-31 00:00:00+00:00,1.298
2026-01-01 00:00:00+00:00,1.483
2026-01-02 00:00:00+00:00,1.504
2026-01-03 00:00:00+00:00,1.494
2026-01-04 00:00:00+00:00,1.494
2026-01-05 00:00:00+00:00,1.569
2026-01-06 00:00:00+00:00,1.593
2026-01-07 00:00:00+00:00,1.519
2026-01-08 00:00:00+00:00,1.497
2026-01-09 00:00:00+00:00,1.488
2026-01-10 00:00:00+00:00,1.482
2026-01-11 00:00:00+00:00,1.457
2026-01-12 00:00:00+00:00,1.461
2026-01-13 00:00:00+00:00,1.576
2026-01-14 00:00:00+00:00,1.592
2026-01-15 00:00:00+00:00,1.504
2026-01-16 00:00:00+00:00,1.52
2026-01-17 00:00:00+00:00,1.551
2026-01-18 00:00:00+00:00,1.45
2026-01-19 00:00:00+00:00,1.384
2026-01-20 00:00:00+00:00,1.378
