date,XTZ/USDT
2025-10-15 00:00:00+00:00,0.6083
2025-10-16 00:00:00+00:00,0.5961
2025-10-17 00:00:00+00:00,0.5775
2025-10-18 00:00:00+00:00,0.5864
2025-10-19 00:00:00+00:00,0.5966
2025-10-20 00:00:00+00:00,0.5981
2025-10-21 00:00:00+00:00,0.5868
2025-10-22 00:00:00+00:00,0.5825
2025-10-23 00:00:00+00:00,0.5944
2025-10-24 00:00:00+00:00,0.6028
2025-10-25 00:00:00+00:00,0.6059
2025-10-26 00:00:00+00:00,0.6141
2025-10-27 00:00:00+00:00,0.6003
2025-10-28 00:00:00+00:00,0.5921
2025-10-29 00:00:00+00:00,0.5897
2025-10-30 00:00:00+00:00,0.5645
2025-10-31 00:00:00+00:00,0.5805
2025-11-01 00:00:00+00:00,0.5781
2025-11-02 00:00:00+00:00,0.5802
2025-11-03 00:00:00+00:00,0.5331
2025-11-04 00:00:00+00:00,0.5184
2025-11-05 00:00:00+00:00,0.5353
2025-11-06 00:00:00+00:00,0.5996
2025-11-07 00:00:00+00:00,0.6965
2025-11-08 00:00:00+00:00,0.6516
2025-11-09 00:00:00+00:00,0.6281
2025-11-10 00:00:00+00:00,0.6271
2025-11-11 00:00:00+00:00,0.5935
2025-11-12 00:00:00+00:00,0.5839
2025-11-13 00:00:00+00:00,0.5676
2025-11-14 00:00:00+00:00,0.556
2025-11-15 00:00:00+00:00,0.5732
2025-11-16 00:00:00+00:00,0.5519
2025-11-17 00:00:00+00:00,0.5304
2025-11-18 00:00:00+00:00,0.546
2025-11-19 00:00:00+00:00,0.5347
2025-11-20 00:00:00+00:00,0.5084
2025-11-21 00:00:00+00:00,0.4985
2025-11-22 00:00:00+00:00,0.4867
2025-11-23 00:00:00+00:00,0.4887
2025-11-24 00:00:00+00:00,0.5042
2025-11-25 00:00:00+00:00,0.5088
2025-11-26 00:00:00+00:00,0.51
2025-11-27 00:00:00+00:00,0.5109
2025-11-28 00:00:00+00:00,0.5047
2025-11-29 00:00:00+00:00,0.4924
2025-11-30 00:00:00+00:00,0.4838
2025-12-01 00:00:00+00:00,0.4701
2025-12-02 00:00:00+00:00,0.4853
2025-12-03 00:00:00+00:00,0.5019
2025-12-04 00:00:00+00:00,0.4953
2025-12-05 00:00:00+00:00,0.4785
2025-12-06 00:00:00+00:00,0.4804
2025-12-07 00:00:00+00:00,0.4736
2025-12-08 00:00:00+00:00,0.4926
2025-12-09 00:00:00+00:00,0.4979
2025-12-10 00:00:00+00:00,0.4936
2025-12-11 00:00:00+00:00,0.5064
2025-12-12 00:00:00+00:00,0.4926
2025-12-13 00:00:00+00:00,0.5025
2025-12-14 00:00:00+00:00,0.4794
2025-12-15 00:00:00+00:00,0.4621
2025-12-16 00:00:00+00:00,0.4607
2025-12-17 00:00:00+00:00,0.4417
2025-12-18 00:00:00+00:00,0.4295
2025-12-19 00:00:00+00:00,0.4431
2025-12-20 00:00:00+00:00,0.4519
2025-12-21 00:00:00+00:00,0.4386
2025-12-22 00:00:00+00:00,0.4433
2025-12-23 00:00:00+00:00,0.4437
2025-12-24 00:00:00+00:00,0.4441
2025-12-25 00:00:00+00:00,0.4438
2025-12-26 00:00:00+00:00,0.4757
2025-12-27 00:00:00+00:00,0.4855
2025-12-28 00:00:00+00:00,0.5002
2025-12-29 00:00:00+00:00,0.4916
2025-12-30 00:00:00+00:00,0.5187
2025-12-31 00:00:00+00:00,0.4956
2026-01-01 00:00:00+00:00,0.5073
2026-01-02 00:00:00+00:00,0.5289
2026-01-03 00:00:00+00:00,0.5326
2026-01-04 00:00:00+00:00,0.5439
2026-01-05 00:00:00+00:00,0.5584
2026-01-06 00:00:00+00:00,0.598
2026-01-07 00:00:00+00:00,0.5679
2026-01-08 00:00:00+00:00,0.5872
2026-01-09 00:00:00+00:00,0.5816
2026-01-10 00:00:00+00:00,0.5815
2026-01-11 00:00:00+00:00,0.5704
2026-01-12 00:00:00+00:00,0.5562
2026-01-13 00:00:00+00:00,0.5942
2026-01-14 00:00:00+00:00,0.5781
2026-01-15 00:00:00+00:00,0.5817
2026-01-16 00:00:00+00:00,0.6191
2026-01-17 00:00:00+00:00,0.602
2026-01-18 00:00:00+00:00,0.5826
2026-01-19 00:00:00+00:00,0.6104
2026-01-20 00:00:00+00:00,0.6051
