date,ICP/USDT
2025-11-11 00:00:00+00:00,5.969
2025-11-12 00:00:00+00:00,6.396
2025-11-13 00:00:00+00:00,5.861
2025-11-14 00:00:00+00:00,5.393
2025-11-15 00:00:00+00:00,5.276
2025-11-16 00:00:00+00:00,4.788
2025-11-17 00:00:00+00:00,5.51
2025-11-18 00:00:00+00:00,5.096
2025-11-19 00:00:00+00:00,4.964
2025-11-20 00:00:00+00:00,4.617
2025-11-21 00:00:00+00:00,4.307
2025-11-22 00:00:00+00:00,4.038
2025-11-23 00:00:00+00:00,4.05
2025-11-24 00:00:00+00:00,4.198
2025-11-25 00:00:00+00:00,4.349
2025-11-26 00:00:00+00:00,4.24
2025-11-27 00:00:00+00:00,4.037
2025-11-28 00:00:00+00:00,4.033
2025-11-29 00:00:00+00:00,4.001
2025-11-30 00:00:00+00:00,3.828
2025-12-01 00:00:00+00:00,3.713
2025-12-02 00:00:00+00:00,3.763
2025-12-03 00:00:00+00:00,3.74
2025-12-04 00:00:00+00:00,3.641
2025-12-05 00:00:00+00:00,3.482
2025-12-06 00:00:00+00:00,3.499
2025-12-07 00:00:00+00:00,3.427
2025-12-08 00:00:00+00:00,3.397
2025-12-09 00:00:00+00:00,3.744
2025-12-10 00:00:00+00:00,3.449
2025-12-11 00:00:00+00:00,3.413
2025-12-12 00:00:00+00:00,3.234
2025-12-13 00:00:00+00:00,3.301
2025-12-14 00:00:00+00:00,3.066
2025-12-15 00:00:00+00:00,3.036
2025-12-16 00:00:00+00:00,3.066
2025-12-17 00:00:00+00:00,2.883
2025-12-18 00:00:00+00:00,2.804
2025-12-19 00:00:00+00:00,2.951
2025-12-20 00:00:00+00:00,3.438
2025-12-21 00:00:00+00:00,3.057
2025-12-22 00:00:00+00:00,3.041
2025-12-23 00:00:00+00:00,3.035
2025-12-24 00:00:00+00:00,3.01
2025-12-25 00:00:00+00:00,2.982
2025-12-26 00:00:00+00:00,2.987
2025-12-27 00:00:00+00:00,3.075
2025-12-28 00:00:00+00:00,3.04
2025-12-29 00:00:00+00:00,2.889
2025-12-30 00:00:00+00:00,2.837
2025-12-31 00:00:00+00:00,2.841
2026-01-01 00:00:00+00:00,3.002
2026-01-02 00:00:00+00:00,3.158
2026-01-03 00:00:00+00:00,3.127
2026-01-04 00:00:00+00:00,3.27
2026-01-05 00:00:00+00:00,3.405
2026-01-06 00:00:00+00:00,3.388
2026-01-07 00:00:00+00:00,3.227
2026-01-08 00:00:00+00:00,3.177
2026-01-09 00:00:00+00:00,3.202
2026-01-10 00:00:00+00:00,3.187
2026-01-11 00:00:00+00:00,3.153
2026-01-12 00:00:00+00:00,3.113
2026-01-13 00:00:00+00:00,3.626
2026-01-14 00:00:00+00:00,4.541
2026-01-15 00:00:00+00:00,4.264
2026-01-16 00:00:00+00:00,4.179
2026-01-17 00:00:00+00:00,3.986
2026-01-18 00:00:00+00:00,3.896
2026-01-19 00:00:00+00:00,3.874
2026-01-20 00:00:00+00:00,3.86
