date,ZEC/USDT
2025-07-08 00:00:00+00:00,43.7
2025-07-09 00:00:00+00:00,41.02
2025-07-10 00:00:00+00:00,42.08
2025-07-11 00:00:00+00:00,42.05
2025-07-12 00:00:00+00:00,42.28
2025-07-13 00:00:00+00:00,42.37
2025-07-14 00:00:00+00:00,43.17
2025-07-15 00:00:00+00:00,43.78
2025-07-16 00:00:00+00:00,44.24
2025-07-17 00:00:00+00:00,45.42
2025-07-18 00:00:00+00:00,44.29
2025-07-19 00:00:00+00:00,44.72
2025-07-20 00:00:00+00:00,44.99
2025-07-21 00:00:00+00:00,44.59
2025-07-22 00:00:00+00:00,44.1
2025-07-23 00:00:00+00:00,41.33
2025-07-24 00:00:00+00:00,40.21
2025-07-25 00:00:00+00:00,40.8
2025-07-26 00:00:00+00:00,41.2
2025-07-27 00:00:00+00:00,41.9
2025-07-28 00:00:00+00:00,40.67
2025-07-29 00:00:00+00:00,40.5
2025-07-30 00:00:00+00:00,38.45
2025-07-31 00:00:00+00:00,36.96
2025-08-01 00:00:00+00:00,35.94
2025-08-02 00:00:00+00:00,35.42
2025-08-03 00:00:00+00:00,36.15
2025-08-04 00:00:00+00:00,37.06
2025-08-05 00:00:00+00:00,35.51
2025-08-06 00:00:00+00:00,36.14
2025-08-07 00:00:00+00:00,38.12
2025-08-08 00:00:00+00:00,38.75
2025-08-09 00:00:00+00:00,39.7
2025-08-10 00:00:00+00:00,39.53
2025-08-11 00:00:00+00:00,36.65
2025-08-12 00:00:00+00:00,39.54
2025-08-13 00:00:00+00:00,39.35
2025-08-14 00:00:00+00:00,36.62
2025-08-15 00:00:00+00:00,36.43
2025-08-16 00:00:00+00:00,36.77
2025-08-17 00:00:00+00:00,37.03
2025-08-18 00:00:00+00:00,35.34
2025-08-19 00:00:00+00:00,34.66
2025-08-20 00:00:00+00:00,39.05
2025-08-21 00:00:00+00:00,42.56
2025-08-22 00:00:00+00:00,43.95
2025-08-23 00:00:00+00:00,44.82
2025-08-24 00:00:00+00:00,42.57
2025-08-25 00:00:00+00:00,39.78
2025-08-26 00:00:00+00:00,42.8
2025-08-27 00:00:00+00:00,42.27
2025-08-28 00:00:00+00:00,42.47
2025-08-29 00:00:00+00:00,40.21
2025-08-30 00:00:00+00:00,40.05
2025-08-31 00:00:00+00:00,40.43
2025-09-01 00:00:00+00:00,40.55
2025-09-02 00:00:00+00:00,41.57
2025-09-03 00:00:00+00:00,41.57
2025-09-04 00:00:00+00:00,40.77
2025-09-05 00:00:00+00:00,41.1
2025-09-06 00:00:00+00:00,47.46
2025-09-07 00:00:00+00:00,48.4
2025-09-08 00:00:00+00:00,50.66
2025-09-09 00:00:00+00:00,48.32
2025-09-10 00:00:00+00:00,47.87
2025-09-11 00:00:00+00:00,47.94
2025-09-12 00:00:00+00:00,49.75
2025-09-13 00:00:00+00:00,52.85
2025-09-14 00:00:00+00:00,50.47
2025-09-15 00:00:00+00:00,49.93
2025-09-16 00:00:00+00:00,51.38
2025-09-17 00:00:00+00:00,51.21
2025-09-18 00:00:00+00:00,50.39
2025-09-19 00:00:00+00:00,48.96
2025-09-20 00:00:00+00:00,50.62
2025-09-21 00:00:00+00:00,51.84
2025-09-22 00:00:00+00:00,48.61
2025-09-23 00:00:00+00:00,55.12
2025-09-24 00:00:00+00:00,58.73
2025-09-25 00:00:00+00:00,54.5
2025-09-26 00:00:00+00:00,56.27
2025-09-27 00:00:00+00:00,55.64
2025-09-28 00:00:00+00:00,61.08
2025-09-29 00:00:00+00:00,72.06
2025-09-30 00:00:00+00:00,74.32
2025-10-01 00:00:00+00:00,120.76
2025-10-02 00:00:00+00:00,131.39
2025-10-03 00:00:00+00:00,127.32
2025-10-04 00:00:00+00:00,156.78
2025-10-05 00:00:00+00:00,165.35
2025-10-06 00:00:00+00:00,155.96
2025-10-07 00:00:00+00:00,127.26
2025-10-08 00:00:00+00:00,177.56
2025-10-09 00:00:00+00:00,212.57
2025-10-10 00:00:00+00:00,225.28
2025-10-11 00:00:00+00:00,291.0
2025-10-12 00:00:00+00:00,260.42
2025-10-13 00:00:00+00:00,249.13
2025-10-14 00:00:00+00:00,247.78
2025-10-15 00:00:00+00:00,230.01
2025-10-16 00:00:00+00:00,205.07
2025-10-17 00:00:00+00:00,217.8
2025-10-18 00:00:00+00:00,221.36
2025-10-19 00:00:00+00:00,235.77
2025-10-20 00:00:00+00:00,268.61
2025-10-21 00:00:00+00:00,262.93
2025-10-22 00:00:00+00:00,238.65
2025-10-23 00:00:00+00:00,243.56
2025-10-24 00:00:00+00:00,269.94
2025-10-25 00:00:00+00:00,276.12
2025-10-26 00:00:00+00:00,325.24
2025-10-27 00:00:00+00:00,341.75
2025-10-28 00:00:00+00:00,315.85
2025-10-29 00:00:00+00:00,351.59
2025-10-30 00:00:00+00:00,345.56
2025-10-31 00:00:00+00:00,404.54
2025-11-01 00:00:00+00:00,412.13
2025-11-02 00:00:00+00:00,418.52
2025-11-03 00:00:00+00:00,433.88
2025-11-04 00:00:00+00:00,441.8
2025-11-05 00:00:00+00:00,478.33
2025-11-06 00:00:00+00:00,535.84
2025-11-07 00:00:00+00:00,645.44
2025-11-08 00:00:00+00:00,600.77
2025-11-09 00:00:00+00:00,615.8
2025-11-10 00:00:00+00:00,522.13
2025-11-11 00:00:00+00:00,443.43
2025-11-12 00:00:00+00:00,504.91
2025-11-13 00:00:00+00:00,519.51
2025-11-14 00:00:00+00:00,608.68
2025-11-15 00:00:00+00:00,670.84
2025-11-16 00:00:00+00:00,699.0
2025-11-17 00:00:00+00:00,610.54
2025-11-18 00:00:00+00:00,625.26
2025-11-19 00:00:00+00:00,674.7
2025-11-20 00:00:00+00:00,655.82
2025-11-21 00:00:00+00:00,550.76
2025-11-22 00:00:00+00:00,518.0
2025-11-23 00:00:00+00:00,572.91
2025-11-24 00:00:00+00:00,519.94
2025-11-25 00:00:00+00:00,511.31
2025-11-26 00:00:00+00:00,527.05
2025-11-27 00:00:00+00:00,490.07
2025-11-28 00:00:00+00:00,452.02
2025-11-29 00:00:00+00:00,460.48
2025-11-30 00:00:00+00:00,427.94
2025-12-01 00:00:00+00:00,343.91
2025-12-02 00:00:00+00:00,312.81
2025-12-03 00:00:00+00:00,338.72
2025-12-04 00:00:00+00:00,367.57
2025-12-05 00:00:00+00:00,360.07
2025-12-06 00:00:00+00:00,341.55
2025-12-07 00:00:00+00:00,342.78
2025-12-08 00:00:00+00:00,405.48
2025-12-09 00:00:00+00:00,433.02
2025-12-10 00:00:00+00:00,404.43
2025-12-11 00:00:00+00:00,450.89
2025-12-12 00:00:00+00:00,454.99
2025-12-13 00:00:00+00:00,443.1
2025-12-14 00:00:00+00:00,404.31
2025-12-15 00:00:00+00:00,413.57
2025-12-16 00:00:00+00:00,404.61
2025-12-17 00:00:00+00:00,376.62
2025-12-18 00:00:00+00:00,388.45
2025-12-19 00:00:00+00:00,444.02
2025-12-20 00:00:00+00:00,447.1
2025-12-21 00:00:00+00:00,441.32
2025-12-22 00:00:00+00:00,431.58
2025-12-23 00:00:00+00:00,417.41
2025-12-24 00:00:00+00:00,448.67
2025-12-25 00:00:00+00:00,438.08
2025-12-26 00:00:00+00:00,448.15
2025-12-27 00:00:00+00:00,516.1
2025-12-28 00:00:00+00:00,530.05
2025-12-29 00:00:00+00:00,540.49
2025-12-30 00:00:00+00:00,529.61
2025-12-31 00:00:00+00:00,512.31
2026-01-01 00:00:00+00:00,526.06
2026-01-02 00:00:00+00:00,488.52
2026-01-03 00:00:00+00:00,511.51
2026-01-04 00:00:00+00:00,502.21
2026-01-05 00:00:00+00:00,503.5
2026-01-06 00:00:00+00:00,501.99
2026-01-07 00:00:00+00:00,469.52
2026-01-08 00:00:00+00:00,421.96
2026-01-09 00:00:00+00:00,418.47
2026-01-10 00:00:00+00:00,375.76
2026-01-11 00:00:00+00:00,381.62
2026-01-12 00:00:00+00:00,407.0
2026-01-13 00:00:00+00:00,404.27
2026-01-14 00:00:00+00:00,447.21
2026-01-15 00:00:00+00:00,414.37
2026-01-16 00:00:00+00:00,411.15
2026-01-17 00:00:00+00:00,400.26
2026-01-18 00:00:00+00:00,376.62
2026-01-19 00:00:00+00:00,369.23
2026-01-20 00:00:00+00:00,369.65
