date,UNI/USDT
2025-12-28 00:00:00+00:00,6.23
2025-12-29 00:00:00+00:00,5.995
2025-12-30 00:00:00+00:00,5.926
2025-12-31 00:00:00+00:00,5.64
2026-01-01 00:00:00+00:00,5.809
2026-01-02 00:00:00+00:00,6.038
2026-01-03 00:00:00+00:00,5.917
2026-01-04 00:00:00+00:00,5.85
2026-01-05 00:00:00+00:00,6.162
2026-01-06 00:00:00+00:00,6.07
2026-01-07 00:00:00+00:00,5.726
2026-01-08 00:00:00+00:00,5.488
2026-01-09 00:00:00+00:00,5.467
2026-01-10 00:00:00+00:00,5.476
2026-01-11 00:00:00+00:00,5.456
2026-01-12 00:00:00+00:00,5.367
2026-01-13 00:00:00+00:00,5.73
2026-01-14 00:00:00+00:00,5.681
2026-01-15 00:00:00+00:00,5.35
2026-01-16 00:00:00+00:00,5.315
2026-01-17 00:00:00+00:00,5.352
2026-01-18 00:00:00+00:00,5.095
2026-01-19 00:00:00+00:00,5.026
2026-01-20 00:00:00+00:00,5.003
