date,PHA/USDT
2025-04-28 00:00:00+00:00,0.1102
2025-04-29 00:00:00+00:00,0.1066
2025-04-30 00:00:00+00:00,0.1079
2025-05-01 00:00:00+00:00,0.1104
2025-05-02 00:00:00+00:00,0.1072
2025-05-03 00:00:00+00:00,0.0989
2025-05-04 00:00:00+00:00,0.1048
2025-05-05 00:00:00+00:00,0.1143
2025-05-06 00:00:00+00:00,0.1105
2025-05-07 00:00:00+00:00,0.1148
2025-05-08 00:00:00+00:00,0.1288
2025-05-09 00:00:00+00:00,0.1403
2025-05-10 00:00:00+00:00,0.1453
2025-05-11 00:00:00+00:00,0.1402
2025-05-12 00:00:00+00:00,0.138
2025-05-13 00:00:00+00:00,0.1411
2025-05-14 00:00:00+00:00,0.1461
2025-05-15 00:00:00+00:00,0.1376
2025-05-16 00:00:00+00:00,0.1305
2025-05-17 00:00:00+00:00,0.1227
2025-05-18 00:00:00+00:00,0.1329
2025-05-19 00:00:00+00:00,0.1277
2025-05-20 00:00:00+00:00,0.1264
2025-05-21 00:00:00+00:00,0.1297
2025-05-22 00:00:00+00:00,0.139
2025-05-23 00:00:00+00:00,0.1331
2025-05-24 00:00:00+00:00,0.1336
2025-05-25 00:00:00+00:00,0.1294
2025-05-26 00:00:00+00:00,0.1333
2025-05-27 00:00:00+00:00,0.1449
2025-05-28 00:00:00+00:00,0.1408
2025-05-29 00:00:00+00:00,0.1342
2025-05-30 00:00:00+00:00,0.1345
2025-05-31 00:00:00+00:00,0.1367
2025-06-01 00:00:00+00:00,0.1348
2025-06-02 00:00:00+00:00,0.1435
2025-06-03 00:00:00+00:00,0.1359
2025-06-04 00:00:00+00:00,0.1408
2025-06-05 00:00:00+00:00,0.1207
2025-06-06 00:00:00+00:00,0.1185
2025-06-07 00:00:00+00:00,0.1202
2025-06-08 00:00:00+00:00,0.1219
2025-06-09 00:00:00+00:00,0.1266
2025-06-10 00:00:00+00:00,0.1304
2025-06-11 00:00:00+00:00,0.1236
2025-06-12 00:00:00+00:00,0.1136
2025-06-13 00:00:00+00:00,0.1082
2025-06-14 00:00:00+00:00,0.1031
2025-06-15 00:00:00+00:00,0.1035
2025-06-16 00:00:00+00:00,0.1034
2025-06-17 00:00:00+00:00,0.1
2025-06-18 00:00:00+00:00,0.0984
2025-06-19 00:00:00+00:00,0.0983
2025-06-20 00:00:00+00:00,0.0949
2025-06-21 00:00:00+00:00,0.0899
2025-06-22 00:00:00+00:00,0.0905
2025-06-23 00:00:00+00:00,0.0975
2025-06-24 00:00:00+00:00,0.1008
2025-06-25 00:00:00+00:00,0.0967
2025-06-26 00:00:00+00:00,0.0941
2025-06-27 00:00:00+00:00,0.0963
2025-06-28 00:00:00+00:00,0.0986
2025-06-29 00:00:00+00:00,0.102
2025-06-30 00:00:00+00:00,0.0992
2025-07-01 00:00:00+00:00,0.0944
2025-07-02 00:00:00+00:00,0.0998
2025-07-03 00:00:00+00:00,0.1008
2025-07-04 00:00:00+00:00,0.0959
2025-07-05 00:00:00+00:00,0.0946
2025-07-06 00:00:00+00:00,0.0972
2025-07-07 00:00:00+00:00,0.096
2025-07-08 00:00:00+00:00,0.0964
2025-07-09 00:00:00+00:00,0.1009
2025-07-10 00:00:00+00:00,0.1092
2025-07-11 00:00:00+00:00,0.1095
2025-07-12 00:00:00+00:00,0.1071
2025-07-13 00:00:00+00:00,0.1103
2025-07-14 00:00:00+00:00,0.1105
2025-07-15 00:00:00+00:00,0.1139
2025-07-16 00:00:00+00:00,0.1174
2025-07-17 00:00:00+00:00,0.1145
2025-07-18 00:00:00+00:00,0.1175
2025-07-19 00:00:00+00:00,0.1183
2025-07-20 00:00:00+00:00,0.1238
2025-07-21 00:00:00+00:00,0.127
2025-07-22 00:00:00+00:00,0.1274
2025-07-23 00:00:00+00:00,0.1172
2025-07-24 00:00:00+00:00,0.1136
2025-07-25 00:00:00+00:00,0.1155
2025-07-26 00:00:00+00:00,0.1142
2025-07-27 00:00:00+00:00,0.1192
2025-07-28 00:00:00+00:00,0.1094
2025-07-29 00:00:00+00:00,0.1097
2025-07-30 00:00:00+00:00,0.1081
2025-07-31 00:00:00+00:00,0.1017
2025-08-01 00:00:00+00:00,0.098
2025-08-02 00:00:00+00:00,0.0949
2025-08-03 00:00:00+00:00,0.0994
2025-08-04 00:00:00+00:00,0.1044
2025-08-05 00:00:00+00:00,0.0997
2025-08-06 00:00:00+00:00,0.1005
2025-08-07 00:00:00+00:00,0.105
2025-08-08 00:00:00+00:00,0.1104
2025-08-09 00:00:00+00:00,0.1137
2025-08-10 00:00:00+00:00,0.1114
2025-08-11 00:00:00+00:00,0.1054
2025-08-12 00:00:00+00:00,0.112
2025-08-13 00:00:00+00:00,0.1156
2025-08-14 00:00:00+00:00,0.1059
2025-08-15 00:00:00+00:00,0.1054
2025-08-16 00:00:00+00:00,0.1081
2025-08-17 00:00:00+00:00,0.1118
2025-08-18 00:00:00+00:00,0.1052
2025-08-19 00:00:00+00:00,0.108
2025-08-20 00:00:00+00:00,0.1138
2025-08-21 00:00:00+00:00,0.124
2025-08-22 00:00:00+00:00,0.1425
2025-08-23 00:00:00+00:00,0.129
2025-08-24 00:00:00+00:00,0.1215
2025-08-25 00:00:00+00:00,0.1074
2025-08-26 00:00:00+00:00,0.1109
2025-08-27 00:00:00+00:00,0.1196
2025-08-28 00:00:00+00:00,0.1128
2025-08-29 00:00:00+00:00,0.1052
2025-08-30 00:00:00+00:00,0.1083
2025-08-31 00:00:00+00:00,0.1073
2025-09-01 00:00:00+00:00,0.1015
2025-09-02 00:00:00+00:00,0.1036
2025-09-03 00:00:00+00:00,0.1033
2025-09-04 00:00:00+00:00,0.1
2025-09-05 00:00:00+00:00,0.1018
2025-09-06 00:00:00+00:00,0.1048
2025-09-07 00:00:00+00:00,0.1049
2025-09-08 00:00:00+00:00,0.1081
2025-09-09 00:00:00+00:00,0.1088
2025-09-10 00:00:00+00:00,0.1089
2025-09-11 00:00:00+00:00,0.1108
2025-09-12 00:00:00+00:00,0.1123
2025-09-13 00:00:00+00:00,0.1114
2025-09-14 00:00:00+00:00,0.1076
2025-09-15 00:00:00+00:00,0.1043
2025-09-16 00:00:00+00:00,0.1062
2025-09-17 00:00:00+00:00,0.1081
2025-09-18 00:00:00+00:00,0.1091
2025-09-19 00:00:00+00:00,0.1093
2025-09-20 00:00:00+00:00,0.1092
2025-09-21 00:00:00+00:00,0.1044
2025-09-22 00:00:00+00:00,0.0976
2025-09-23 00:00:00+00:00,0.0966
2025-09-24 00:00:00+00:00,0.0966
2025-09-25 00:00:00+00:00,0.0904
2025-09-26 00:00:00+00:00,0.0937
2025-09-27 00:00:00+00:00,0.094
2025-09-28 00:00:00+00:00,0.0955
2025-09-29 00:00:00+00:00,0.0933
2025-09-30 00:00:00+00:00,0.0911
2025-10-01 00:00:00+00:00,0.0991
2025-10-02 00:00:00+00:00,0.1045
2025-10-03 00:00:00+00:00,0.1043
2025-10-04 00:00:00+00:00,0.1015
2025-10-05 00:00:00+00:00,0.1008
2025-10-06 00:00:00+00:00,0.1021
2025-10-07 00:00:00+00:00,0.0971
2025-10-08 00:00:00+00:00,0.0998
2025-10-09 00:00:00+00:00,0.0985
2025-10-10 00:00:00+00:00,0.0663
2025-10-11 00:00:00+00:00,0.066
2025-10-12 00:00:00+00:00,0.073
2025-10-13 00:00:00+00:00,0.0759
2025-10-14 00:00:00+00:00,0.0725
2025-10-15 00:00:00+00:00,0.0673
2025-10-16 00:00:00+00:00,0.0638
2025-10-17 00:00:00+00:00,0.0606
2025-10-18 00:00:00+00:00,0.0613
2025-10-19 00:00:00+00:00,0.0635
2025-10-20 00:00:00+00:00,0.0625
2025-10-21 00:00:00+00:00,0.059
2025-10-22 00:00:00+00:00,0.0576
2025-10-23 00:00:00+00:00,0.059
2025-10-24 00:00:00+00:00,0.0592
2025-10-25 00:00:00+00:00,0.0628
2025-10-26 00:00:00+00:00,0.0636
2025-10-27 00:00:00+00:00,0.0625
2025-10-28 00:00:00+00:00,0.0586
2025-10-29 00:00:00+00:00,0.0586
2025-10-30 00:00:00+00:00,0.0543
2025-10-31 00:00:00+00:00,0.0547
2025-11-01 00:00:00+00:00,0.0585
2025-11-02 00:00:00+00:00,0.0616
2025-11-03 00:00:00+00:00,0.051
2025-11-04 00:00:00+00:00,0.0495
2025-11-05 00:00:00+00:00,0.0509
2025-11-06 00:00:00+00:00,0.0505
2025-11-07 00:00:00+00:00,0.0628
2025-11-08 00:00:00+00:00,0.061
2025-11-09 00:00:00+00:00,0.0674
2025-11-10 00:00:00+00:00,0.0628
2025-11-11 00:00:00+00:00,0.0566
2025-11-12 00:00:00+00:00,0.0555
2025-11-13 00:00:00+00:00,0.0547
2025-11-14 00:00:00+00:00,0.0528
2025-11-15 00:00:00+00:00,0.0554
