date,LDO/USDT
2025-10-08 00:00:00+00:00,1.1989
2025-10-09 00:00:00+00:00,1.1619
2025-10-10 00:00:00+00:00,0.8296
2025-10-11 00:00:00+00:00,0.8073
2025-10-12 00:00:00+00:00,0.916
2025-10-13 00:00:00+00:00,1.0217
2025-10-14 00:00:00+00:00,0.9733
2025-10-15 00:00:00+00:00,0.9104
2025-10-16 00:00:00+00:00,0.8949
2025-10-17 00:00:00+00:00,0.8676
2025-10-18 00:00:00+00:00,0.8744
2025-10-19 00:00:00+00:00,0.9015
2025-10-20 00:00:00+00:00,0.916
2025-10-21 00:00:00+00:00,0.9005
2025-10-22 00:00:00+00:00,0.8634
2025-10-23 00:00:00+00:00,0.9046
2025-10-24 00:00:00+00:00,0.9249
2025-10-25 00:00:00+00:00,0.9247
2025-10-26 00:00:00+00:00,0.9689
2025-10-27 00:00:00+00:00,0.9408
2025-10-28 00:00:00+00:00,0.9015
2025-10-29 00:00:00+00:00,0.9242
2025-10-30 00:00:00+00:00,0.838
2025-10-31 00:00:00+00:00,0.8716
2025-11-01 00:00:00+00:00,0.8859
2025-11-02 00:00:00+00:00,0.8808
2025-11-03 00:00:00+00:00,0.7402
2025-11-04 00:00:00+00:00,0.7246
2025-11-05 00:00:00+00:00,0.7674
2025-11-06 00:00:00+00:00,0.7369
2025-11-07 00:00:00+00:00,0.8349
2025-11-08 00:00:00+00:00,0.8081
2025-11-09 00:00:00+00:00,0.8416
2025-11-10 00:00:00+00:00,0.8825
2025-11-11 00:00:00+00:00,0.8035
2025-11-12 00:00:00+00:00,0.7934
2025-11-13 00:00:00+00:00,0.7752
2025-11-14 00:00:00+00:00,0.7518
2025-11-15 00:00:00+00:00,0.7544
2025-11-16 00:00:00+00:00,0.7311
2025-11-17 00:00:00+00:00,0.6799
2025-11-18 00:00:00+00:00,0.7344
2025-11-19 00:00:00+00:00,0.7135
2025-11-20 00:00:00+00:00,0.6702
2025-11-21 00:00:00+00:00,0.6145
2025-11-22 00:00:00+00:00,0.6249
2025-11-23 00:00:00+00:00,0.6175
2025-11-24 00:00:00+00:00,0.6636
2025-11-25 00:00:00+00:00,0.6725
2025-11-26 00:00:00+00:00,0.6674
2025-11-27 00:00:00+00:00,0.6679
2025-11-28 00:00:00+00:00,0.6632
2025-11-29 00:00:00+00:00,0.6491
2025-11-30 00:00:00+00:00,0.6426
2025-12-01 00:00:00+00:00,0.5747
2025-12-02 00:00:00+00:00,0.6161
2025-12-03 00:00:00+00:00,0.6542
2025-12-04 00:00:00+00:00,0.6291
2025-12-05 00:00:00+00:00,0.5708
2025-12-06 00:00:00+00:00,0.5764
2025-12-07 00:00:00+00:00,0.5724
2025-12-08 00:00:00+00:00,0.5988
2025-12-09 00:00:00+00:00,0.636
2025-12-10 00:00:00+00:00,0.62
2025-12-11 00:00:00+00:00,0.6008
2025-12-12 00:00:00+00:00,0.5897
2025-12-13 00:00:00+00:00,0.5999
2025-12-14 00:00:00+00:00,0.5828
2025-12-15 00:00:00+00:00,0.5482
2025-12-16 00:00:00+00:00,0.5559
2025-12-17 00:00:00+00:00,0.5135
2025-12-18 00:00:00+00:00,0.5058
2025-12-19 00:00:00+00:00,0.5543
2025-12-20 00:00:00+00:00,0.542
2025-12-21 00:00:00+00:00,0.5351
2025-12-22 00:00:00+00:00,0.5474
2025-12-23 00:00:00+00:00,0.5362
2025-12-24 00:00:00+00:00,0.5393
2025-12-25 00:00:00+00:00,0.5422
2025-12-26 00:00:00+00:00,0.5621
2025-12-27 00:00:00+00:00,0.5769
2025-12-28 00:00:00+00:00,0.5899
2025-12-29 00:00:00+00:00,0.5836
2025-12-30 00:00:00+00:00,0.5891
2025-12-31 00:00:00+00:00,0.5764
2026-01-01 00:00:00+00:00,0.6077
2026-01-02 00:00:00+00:00,0.6234
2026-01-03 00:00:00+00:00,0.6161
2026-01-04 00:00:00+00:00,0.633
2026-01-05 00:00:00+00:00,0.6602
2026-01-06 00:00:00+00:00,0.6606
2026-01-07 00:00:00+00:00,0.6389
2026-01-08 00:00:00+00:00,0.6282
2026-01-09 00:00:00+00:00,0.6389
2026-01-10 00:00:00+00:00,0.6315
2026-01-11 00:00:00+00:00,0.631
2026-01-12 00:00:00+00:00,0.6081
2026-01-13 00:00:00+00:00,0.6651
2026-01-14 00:00:00+00:00,0.6486
2026-01-15 00:00:00+00:00,0.6181
2026-01-16 00:00:00+00:00,0.6081
2026-01-17 00:00:00+00:00,0.6077
2026-01-18 00:00:00+00:00,0.5791
2026-01-19 00:00:00+00:00,0.5582
2026-01-20 00:00:00+00:00,0.5562
