date,BERA/USDT
2025-08-21 00:00:00+00:00,2.206
2025-08-22 00:00:00+00:00,2.44
2025-08-23 00:00:00+00:00,2.577
2025-08-24 00:00:00+00:00,2.48
2025-08-25 00:00:00+00:00,2.244
2025-08-26 00:00:00+00:00,2.58
2025-08-27 00:00:00+00:00,2.631
2025-08-28 00:00:00+00:00,2.822
2025-08-29 00:00:00+00:00,2.657
2025-08-30 00:00:00+00:00,2.672
2025-08-31 00:00:00+00:00,2.582
2025-09-01 00:00:00+00:00,2.338
2025-09-02 00:00:00+00:00,2.328
2025-09-03 00:00:00+00:00,2.349
2025-09-04 00:00:00+00:00,2.236
2025-09-05 00:00:00+00:00,2.245
2025-09-06 00:00:00+00:00,2.287
2025-09-07 00:00:00+00:00,2.281
2025-09-08 00:00:00+00:00,2.344
2025-09-09 00:00:00+00:00,2.333
2025-09-10 00:00:00+00:00,2.404
2025-09-11 00:00:00+00:00,2.299
2025-09-12 00:00:00+00:00,2.435
2025-09-13 00:00:00+00:00,2.461
2025-09-14 00:00:00+00:00,2.396
2025-09-15 00:00:00+00:00,2.304
2025-09-16 00:00:00+00:00,2.323
2025-09-17 00:00:00+00:00,2.4
2025-09-18 00:00:00+00:00,2.653
2025-09-19 00:00:00+00:00,2.528
2025-09-20 00:00:00+00:00,2.578
2025-09-21 00:00:00+00:00,2.671
2025-09-22 00:00:00+00:00,2.438
2025-09-23 00:00:00+00:00,2.529
2025-09-24 00:00:00+00:00,2.737
2025-09-25 00:00:00+00:00,2.438
2025-09-26 00:00:00+00:00,2.659
2025-09-27 00:00:00+00:00,2.667
2025-09-28 00:00:00+00:00,2.866
2025-09-29 00:00:00+00:00,2.773
2025-09-30 00:00:00+00:00,2.682
2025-10-01 00:00:00+00:00,2.864
2025-10-02 00:00:00+00:00,2.812
2025-10-03 00:00:00+00:00,3.027
2025-10-04 00:00:00+00:00,2.833
2025-10-05 00:00:00+00:00,2.79
2025-10-06 00:00:00+00:00,2.866
2025-10-07 00:00:00+00:00,2.574
2025-10-08 00:00:00+00:00,2.78
2025-10-09 00:00:00+00:00,2.737
2025-10-10 00:00:00+00:00,1.816
2025-10-11 00:00:00+00:00,1.774
2025-10-12 00:00:00+00:00,2.125
2025-10-13 00:00:00+00:00,2.203
2025-10-14 00:00:00+00:00,1.965
2025-10-15 00:00:00+00:00,1.815
2025-10-16 00:00:00+00:00,1.819
2025-10-17 00:00:00+00:00,1.785
2025-10-18 00:00:00+00:00,1.81
2025-10-19 00:00:00+00:00,1.911
2025-10-20 00:00:00+00:00,1.991
2025-10-21 00:00:00+00:00,1.916
2025-10-22 00:00:00+00:00,1.959
2025-10-23 00:00:00+00:00,2.012
2025-10-24 00:00:00+00:00,1.921
2025-10-25 00:00:00+00:00,1.881
2025-10-26 00:00:00+00:00,1.908
2025-10-27 00:00:00+00:00,1.737
2025-10-28 00:00:00+00:00,1.776
2025-10-29 00:00:00+00:00,1.812
2025-10-30 00:00:00+00:00,1.777
2025-10-31 00:00:00+00:00,1.811
2025-11-01 00:00:00+00:00,1.842
2025-11-02 00:00:00+00:00,1.824
2025-11-03 00:00:00+00:00,1.583
2025-11-04 00:00:00+00:00,1.572
2025-11-05 00:00:00+00:00,1.519
2025-11-06 00:00:00+00:00,1.459
2025-11-07 00:00:00+00:00,1.602
2025-11-08 00:00:00+00:00,1.628
2025-11-09 00:00:00+00:00,1.664
2025-11-10 00:00:00+00:00,1.691
2025-11-11 00:00:00+00:00,1.561
2025-11-12 00:00:00+00:00,1.574
2025-11-13 00:00:00+00:00,1.487
2025-11-14 00:00:00+00:00,1.396
2025-11-15 00:00:00+00:00,1.41
2025-11-16 00:00:00+00:00,1.345
2025-11-17 00:00:00+00:00,1.301
2025-11-18 00:00:00+00:00,1.307
2025-11-19 00:00:00+00:00,1.22
2025-11-20 00:00:00+00:00,1.097
2025-11-21 00:00:00+00:00,1.027
2025-11-22 00:00:00+00:00,1.007
2025-11-23 00:00:00+00:00,0.996
2025-11-24 00:00:00+00:00,1.055
2025-11-25 00:00:00+00:00,1.057
2025-11-26 00:00:00+00:00,1.034
2025-11-27 00:00:00+00:00,1.005
2025-11-28 00:00:00+00:00,0.896
2025-11-29 00:00:00+00:00,0.926
2025-11-30 00:00:00+00:00,0.875
2025-12-01 00:00:00+00:00,0.897
2025-12-02 00:00:00+00:00,0.941
2025-12-03 00:00:00+00:00,0.957
2025-12-04 00:00:00+00:00,0.92
2025-12-05 00:00:00+00:00,0.887
2025-12-06 00:00:00+00:00,0.878
2025-12-07 00:00:00+00:00,0.842
2025-12-08 00:00:00+00:00,0.84
2025-12-09 00:00:00+00:00,0.83
2025-12-10 00:00:00+00:00,0.813
2025-12-11 00:00:00+00:00,0.74
2025-12-12 00:00:00+00:00,0.724
2025-12-13 00:00:00+00:00,0.725
2025-12-14 00:00:00+00:00,0.73
2025-12-15 00:00:00+00:00,0.671
2025-12-16 00:00:00+00:00,0.647
2025-12-17 00:00:00+00:00,0.572
2025-12-18 00:00:00+00:00,0.549
2025-12-19 00:00:00+00:00,0.584
2025-12-20 00:00:00+00:00,0.608
2025-12-21 00:00:00+00:00,0.58
2025-12-22 00:00:00+00:00,0.603
2025-12-23 00:00:00+00:00,0.589
2025-12-24 00:00:00+00:00,0.611
2025-12-25 00:00:00+00:00,0.606
2025-12-26 00:00:00+00:00,0.64
2025-12-27 00:00:00+00:00,0.653
2025-12-28 00:00:00+00:00,0.63
2025-12-29 00:00:00+00:00,0.62
2025-12-30 00:00:00+00:00,0.636
2025-12-31 00:00:00+00:00,0.608
2026-01-01 00:00:00+00:00,0.662
2026-01-02 00:00:00+00:00,0.677
2026-01-03 00:00:00+00:00,0.67
2026-01-04 00:00:00+00:00,0.657
2026-01-05 00:00:00+00:00,0.656
2026-01-06 00:00:00+00:00,0.641
2026-01-07 00:00:00+00:00,0.616
2026-01-08 00:00:00+00:00,0.595
2026-01-09 00:00:00+00:00,0.595
2026-01-10 00:00:00+00:00,0.588
2026-01-11 00:00:00+00:00,0.583
2026-01-12 00:00:00+00:00,0.559
2026-01-13 00:00:00+00:00,0.586
2026-01-14 00:00:00+00:00,0.807
2026-01-15 00:00:00+00:00,0.669
2026-01-16 00:00:00+00:00,0.692
2026-01-17 00:00:00+00:00,0.827
2026-01-18 00:00:00+00:00,0.857
2026-01-19 00:00:00+00:00,0.952
2026-01-20 00:00:00+00:00,0.932
